Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
BNDSY,"Banco de Sabadell, S.A.",2.58,0.49,23.44,30093.0,2365.0,8.677,9.21
CVT,Cvent Holding Corp.,8.07,1.5,22.83,538858.0,487739.0,3.938,
AI,"C3.ai, Inc.",19.85,3.55,21.78,62961000.0,2402000.0,2.188,
NWWCF,New China Life Insurance Company Ltd.,2.72,0.42,18.26,133216.0,0.0,12.614,7.35
GETY,"Getty Images Holdings, Inc.",6.36,0.92,16.91,1497000.0,333075.0,2.062,53.0
SYM,Symbotic Inc.,15.65,2.12,15.67,617466.0,178121.0,8.874,
LAC,Lithium Americas Corp.,25.23,3.24,14.73,13958000.0,2035000.0000000002,3.406,
AOS,A. O. Smith Corporation,67.7,8.14,13.67,5847000.0,1095000.0,10.343,21.56
UNCRY,UniCredit S.p.A.,9.69,1.13,13.2,350689.0,201959.0,37.911,13.27
SPOT,Spotify Technology S.A.,112.72,12.72,12.72,9588000.0,1771000.0,21.77,
GPRE,Green Plains Inc.,34.77,3.72,11.98,3063000.0,837514.0,2.062,
ALGM,"Allegro MicroSystems, Inc.",38.17,3.74,10.86,6312000.0,1236000.0,7.302,63.62
ST,Sensata Technologies Holding plc,50.85,4.97,10.83,2486000.0,1233000.0,7.778,26.48
IP,International Paper Company,41.82,4.03,10.66,10587000.0,3066000.0,14.874,8.0
CIG-C,Companhia Energética de Minas Gerais,3.45,0.31,9.87,59305.0,51902.0,7.592,13.8
SANM,Sanmina Corporation,60.93,5.39,9.7,1089000.0,517868.0,3.499,15.39
SMG,The Scotts Miracle-Gro Company,72.19,6.22,9.43,1692000.0,883896.0,4.004,10.3
PHM,"PulteGroup, Inc.",56.89,4.9,9.42,7744000.0,2120000.0,13.118,5.88
FGEN,"FibroGen, Inc.",23.6,2.01,9.31,1402000.0,839672.0,2.217,
PNR,Pentair plc,55.38,4.68,9.23,4905000.0,1381000.0,9.11,17.2
VSCO,Victoria's Secret & Co.,42.15,3.52,9.11,2719000.0,1310000.0,3.407,9.03
KEX,Kirby Corporation,70.78,5.89,9.08,851947.0,370716.0,4.24,43.42
NTCO,Natura &Co Holding S.A.,5.77,0.48,9.07,1141000.0,693762.0,3.962,32.06
GM,General Motors Company,39.32,3.03,8.35,46964000.0,13444000.0,55.862,7.0
PLUG,Plug Power Inc.,17.02,1.31,8.34,20407000.0,17216000.0,9.921,
IVPAF,Ivanhoe Mines Ltd.,9.38,0.7,8.06,176366.0,127260.0,11.392,28.42
PII,Polaris Inc.,114.84,8.22,7.71,2185000.0,565629.0,6.656,14.09
LAZR,"Luminar Technologies, Inc.",6.67,0.47,7.58,8010999.999999999,7352000.0,2.42,
RIVN,"Rivian Automotive, Inc.",19.4,1.36,7.54,31513000.0,20091000.0,17.138,
NEOG,Neogen Corporation,21.41,1.45,7.26,4367000.0,3312000.0,4.628,62.97
AFRM,"Affirm Holdings, Inc.",16.19,1.09,7.22,17264000.0,16741000.0,4.698,
YPF,YPF Sociedad Anónima,11.95,0.8,7.17,3089000.0,2498000.0,9.722,3.83
HTLF,"Heartland Financial USA, Inc.",49.47,3.31,7.17,489397.0,127767.0,2.101,10.9
TMHC,Taylor Morrison Home Corporation,35.8,2.39,7.15,1958000.0,897716.0,3.879,4.08
DNA,"Ginkgo Bioworks Holdings, Inc.",1.95,0.13,7.14,18134000.0,23068000.0,4.004,
MBLY,Mobileye Global Inc.,38.6,2.48,6.87,3682000.0,2087000.0000000002,30.954,
DBRG,"DigitalBridge Group, Inc.",14.8,0.95,6.86,3407000.0,1737000.0,2.366,
GSAT,"Globalstar, Inc.",1.41,0.09,6.82,4175000.0,5257000.0,2.539,
SWMAY,Swedish Match AB (publ),10.2,0.65,6.81,24555.0,87614.0,15.511,25.5
AMC,"AMC Entertainment Holdings, Inc.",5.35,0.34,6.79,21663000.0,29305000.0,2.746,
GNRC,Generac Holdings Inc.,120.6,7.46,6.59,1337000.0,1873000.0,7.641,17.16
GTLS,"Chart Industries, Inc.",133.98,8.18,6.5,735324.0,1072000.0,5.702,72.82
WMS,"Advanced Drainage Systems, Inc.",100.84,6.14,6.48,797816.0,881986.0,8.355,18.61
ROKU,"Roku, Inc.",57.5,3.5,6.48,11096000.0,7703000.0,8.008,48.73
PR,Permian Resources Corporation,10.87,0.66,6.46,8106999.999999999,6117000.0,6.063,5.81
FND,"Floor & Decor Holdings, Inc.",90.77,5.5,6.45,1411000.0,1586000.0,9.632,34.65
GLBE,Global-e Online Ltd.,29.97,1.8,6.39,1502000.0,1210000.0,4.689,
OKTA,"Okta, Inc.",73.61,4.4,6.36,3275000.0,3836000.0,11.791,
HTZ,"Hertz Global Holdings, Inc.",18.02,1.07,6.31,1991000.0,2553000.0,6.018,23.1
LII,Lennox International Inc.,260.62,15.45,6.3,714527.0,309173.0,9.236,19.29
U,Unity Software Inc.,35.52,2.09,6.25,10374000.0,12557000.0,14.316,
SUI,"Sun Communities, Inc.",156.86,9.22,6.24,861811.0,586016.0,19.814,77.27
XPEV,XPeng Inc.,10.64,0.62,6.19,21697000.0,32472000.0,9.18,
TRUP,"Trupanion, Inc.",59.02,3.43,6.17,423423.0,544540.0,2.413,
CMCLF,CMOC Group Limited,0.5836,0.0336,6.11,884302.0,8534.0,17.514,11.67
ELS,"Equity LifeStyle Properties, Inc.",71.78,4.13,6.1,1556000.0,765906.0,14.025,48.17
DIDIY,DiDi Global Inc.,4.52,0.26,6.1,11897000.0,14553000.0,21.94,
GGAL,Grupo Financiero Galicia S.A.,13.4,0.77,6.1,665479.0,684316.0,4.9,12.29
NEX,NexTier Oilfield Solutions Inc.,9.42,0.54,6.08,3413000.0,2914000.0,2.313,12.08
IBP,"Installed Building Products, Inc.",110.09,6.25,6.02,173150.0,203221.0,3.149,18.14
QS,QuantumScape Corporation,8.51,0.48,5.98,5675000.0,7452000.0,3.71,
DOV,Dover Corporation,151.83,8.52,5.95,2427000.0,840881.0,21.31,18.86
TREX,"Trex Company, Inc.",52.72,2.95,5.93,824184.0,1216000.0,5.785,30.13
LNC,Lincoln National Corporation,35.43,1.97,5.89,5983000.0,3090000.0,5.995,10.97
NET,"Cloudflare, Inc.",52.91,2.94,5.88,4593000.0,5359000.0,17.388,
NTLA,"Intellia Therapeutics, Inc.",42.44,2.32,5.78,1042000.0,1196000.0,3.659,
SEDG,"SolarEdge Technologies, Inc.",319.13,17.26,5.72,899130.0,1030000.0,17.838,157.99
NU,Nu Holdings Ltd.,4.65,0.25,5.68,32990000.000000004,27264000.0,21.788,
ENS,EnerSys,83.02,4.46,5.68,409445.0,204460.0,3.39,26.61
RVNC,"Revance Therapeutics, Inc.",34.68,1.86,5.67,3950000.0,1516000.0,2.853,
BC,Brunswick Corporation,84.33,4.5,5.64,1149000.0,561216.0,6.114,10.0
BLD,TopBuild Corp.,200.06,10.63,5.61,213373.0,338737.0,6.396,13.9
AGL,"agilon health, inc.",21.76,1.15,5.58,3253000.0,1862000.0,8.962,
ESRT,"Empire State Realty Trust, Inc.",8.34,0.44,5.57,1847000.0,1044000.0,2.339,69.5
TDOC,"Teladoc Health, Inc.",29.4,1.55,5.57,3412000.0,4358000.0,4.761,
PLTR,Palantir Technologies Inc.,7.78,0.41,5.56,40441000.0,32881000.0,16.184,
MAS,Masco Corporation,53.2,2.8,5.56,1691000.0,1693000.0,11.998,14.46
HUM,Humana Inc.,511.7,26.79,5.52,2266000.0,1044999.9999999999,64.781,23.2
OC,Owens Corning,96.65,5.06,5.52,1133000.0,910742.0,9.131,7.13
SHLS,"Shoals Technologies Group, Inc.",27.89,1.46,5.52,1510000.0,2862000.0,3.222,253.55
GDRX,"GoodRx Holdings, Inc.",5.59,0.29,5.47,1454000.0,1856000.0,2.215,
WAL,Western Alliance Bancorporation,75.37,3.91,5.47,1351000.0,883062.0,8.541,8.09
RARE,Ultragenyx Pharmaceutical Inc.,45.33,2.35,5.47,587431.0,761954.0,3.178,
