Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
PHJMF,PT Hanjaya Mandala Sampoerna Tbk,0.0511,-0.0119,-18.89,604858.0,425731.0,5.944,
SFBS,"ServisFirst Bancshares, Inc.",64.82,-7.1,-9.87,480246.0,142685.0,3.521,14.87
SFNC,Simmons First National Corporation,20.91,-2.09,-9.09,1074000.0,523731.0,2.655,11.55
OMCL,"Omnicell, Inc.",52.95,-4.86,-8.41,416183.0,725365.0,2.364,51.41
PRK,Park National Corporation,124.01,-11.2,-8.28,80179.0,51142.0,2.017,13.36
PD,"PagerDuty, Inc.",26.52,-2.35,-8.14,1570000.0,1003000.0,2.386,
W,Wayfair Inc.,54.65,-4.68,-7.89,13623000.0,5128000.0,5.854,
GDRX,"GoodRx Holdings, Inc.",5.21,-0.42,-7.46,1706000.0,1770000.0,2.064,
AFRM,"Affirm Holdings, Inc.",14.32,-1.13,-7.31,20383000.0,15975000.0,4.155000000000001,
FLNC,"Fluence Energy, Inc.",23.1,-1.81,-7.27,1889000.0,1009000.0,4.030000000000001,
MGA,Magna International Inc.,60.74,-4.72,-7.21,3450000.0,1093000.0,17.367,18.75
APE,"AMC Entertainment Holdings, Inc.",1.7,-0.13,-7.1,18589000.0,28530000.0,4.534,
MRVI,"Maravai LifeSciences Holdings, Inc.",13.58,-0.93,-6.41,2254000.0,2007000.0,3.466,7.26
ONB,Old National Bancorp,17.03,-1.13,-6.22,5039000.0,1616000.0,4.988,14.94
MMM,3M Company,115.0,-7.62,-6.21,10275000.0,2855000.0,63.565,10.03
YMM,Full Truck Alliance Co. Ltd.,8.68,-0.57,-6.16,10457000.0,7865000.0,9.621,11.27
PROK,ProKidney Corp.,9.76,-0.64,-6.15,98801.0,101300.0,2.272,
ENTG,"Entegris, Inc.",79.34,-4.99,-5.92,1744000.0,1933000.0,11.824,40.69
CORT,Corcept Therapeutics Incorporated,22.77,-1.4,-5.79,1010000.0,738865.0,2.451,22.77
CTLT,"Catalent, Inc.",49.57,-3.02,-5.74,2914000.0,3385000.0,8.921,19.83
SGRY,"Surgery Partners, Inc.",32.2,-1.8,-5.29,480048.0,918175.0,3.948,
BRO,"Brown & Brown, Inc.",58.71,-3.25,-5.25,2624000.0,1242000.0,16.628,26.57
CBRL,"Cracker Barrel Old Country Store, Inc.",104.88,-5.74,-5.19,586264.0,431160.0,2.328,20.85
PTON,"Peloton Interactive, Inc.",11.06,-0.6,-5.15,9117000.0,12429000.0,3.761,
STAA,STAAR Surgical Company,68.88,-3.72,-5.12,486933.0,782265.0,3.32,87.19
TENB,"Tenable Holdings, Inc.",39.15,-2.11,-5.11,1769000.0,851170.0,4.405,
GLBE,Global-e Online Ltd.,25.53,-1.36,-5.06,590129.0,1231000.0,3.995,
