,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,CVNA,Carvana Co.,13.56,3.39,33.33,76.638M,27.525M,2.408B,
1,RADLY,Raia Drogasil S.A.,7.8,1.9,32.2,75831,8261,12.852B,70.91
2,RPD,"Rapid7, Inc.",52.32,12.45,31.23,11.422M,1.139M,3.099B,
3,PTON,"Peloton Interactive, Inc.",16.36,3.43,26.53,79.365M,12.218M,5.563B,
4,HVPQF,HarbourVest Global Private Equity Ltd.,27.05,4.2,18.37,60448,,2.232B,2.06
5,DT,"Dynatrace, Inc.",44.54,6.11,15.9,9.719M,1.91M,12.821B,494.89
6,ATKR,Atkore Inc.,148.91,18.66,14.33,1.472M,457366,5.936B,7.33
7,SLAB,Silicon Laboratories Inc.,179.0,22.09,14.08,2.628M,345641,5.958B,95.72
8,EGFEF,Eurobank Ergasias Services and Holdings S.A.,1.3894,0.1694,13.89,27609,1566,5.519B,3.86
9,CACC,Credit Acceptance Corporation,526.08,63.44,13.71,382257,123570,6.799B,12.43
10,BIDU,"Baidu, Inc.",152.25,17.57,13.05,11.831M,3.229M,52.837B,
11,AMD,"Advanced Micro Devices, Inc.",84.64,9.49,12.63,152.548M,61.434M,136.47B,53.91
12,MRCY,"Mercury Systems, Inc.",56.19,6.2,12.41,2.445M,327411,3.258B,802.71
13,OI,"O-I Glass, Inc.",21.63,2.38,12.36,4.549M,1.253M,3.356B,5.63
14,COIN,"Coinbase Global, Inc.",65.7,7.22,12.35,18.841M,16.458M,17.207B,6.72
15,SMG,The Scotts Miracle-Gro Company,80.52,8.33,11.54,1.811M,876683,4.466B,11.49
16,JEXYF,Jiangsu Expressway Company Limited,0.9573,0.0987,11.49,18000,193,6.623B,9.57
17,PATH,UiPath Inc.,17.1,1.74,11.33,12.819M,6.155M,9.453B,
18,DADA,Dada Nexus Limited,14.46,1.45,11.15,2.318M,2.038M,3.696B,
19,WB,Weibo Corporation,25.18,2.43,10.68,2.373M,1.582M,6.019B,104.92
20,DDOG,"Datadog, Inc.",82.7,7.89,10.55,7.96M,4.633M,26.262B,8270.0
21,ODFL,"Old Dominion Freight Line, Inc.",367.62,34.38,10.32,2.645M,788783,40.615B,31.5
22,FUTU,Futu Holdings Limited,55.98,5.22,10.28,3.691M,3.616M,7.86B,27.85
23,SMCI,"Super Micro Computer, Inc.",79.74,7.41,10.24,3.2M,1.319M,4.22B,9.99
24,TGTX,"TG Therapeutics, Inc.",16.77,1.54,10.11,9.074M,5.415M,2.437B,
25,TENB,"Tenable Holdings, Inc.",44.27,4.04,10.04,2.439M,807390,4.981B,
26,DKNG,DraftKings Inc.,16.48,1.49,9.94,20.519M,15.168M,7.397B,
27,W,Wayfair Inc.,66.51,6.01,9.93,6.814M,5.628M,7.125B,
28,SYK,Stryker Corporation,278.95,25.14,9.91,4.587M,1.343M,105.563B,43.38
29,CVAC,CureVac N.V.,11.79,1.05,9.78,960666,976726,2.243B,
30,ALBKY,Alpha Services and Holdings S.A.,0.3293,0.0293,9.77,92985,16193,3.49B,32.93
31,GTLB,GitLab Inc.,54.15,4.74,9.59,1.976M,2.009M,8.106B,
32,MOMO,Hello Group Inc.,11.23,0.98,9.56,2.904M,3.393M,2.225B,
33,AFRM,"Affirm Holdings, Inc.",17.72,1.53,9.45,22.555M,16.937M,5.141B,
34,AI,"C3.ai, Inc.",21.68,1.83,9.22,36.692M,3.455M,2.39B,
35,GDS,GDS Holdings Limited,25.48,2.13,9.12,942622,1.903M,4.991B,
36,IQ,"iQIYI, Inc.",7.31,0.61,9.1,22.644M,20.45M,6.918B,
37,JAMF,Jamf Holding Corp.,21.66,1.79,9.01,440193,407985,2.629B,
38,WOLF,"Wolfspeed, Inc.",83.91,6.9,8.96,3.439M,2.624M,10.44B,
39,FTCH,Farfetch Limited,7.43,0.61,8.94,18.739M,17.557M,2.833B,
40,LKNCY,Luckin Coffee Inc.,26.2,2.15,8.94,3.151M,1.786M,6.945B,33.59
41,VSCO,Victoria's Secret & Co.,45.84,3.69,8.75,2.604M,1.342M,3.705B,9.82
42,CD,Chindata Group Holdings Limited,8.99,0.7,8.44,1.53M,1.477M,3.298B,35.96
43,SAIA,"Saia, Inc.",295.64,22.86,8.38,1.017M,380143,7.823B,20.53
44,RNG,"RingCentral, Inc.",42.28,3.25,8.33,1.622M,1.906M,4.06B,
45,XPO,"XPO, Inc.",43.16,3.3,8.28,2.687M,1.418M,4.97B,5.42
46,AUR,"Aurora Innovation, Inc.",1.97,0.15,8.24,3.483M,2.322M,2.294B,
47,MNDY,monday.com Ltd.,140.65,10.46,8.03,520762,585100,6.149B,
48,LU,Lufax Holding Ltd,3.29,0.24,7.87,25.056M,19.977M,7.52B,4.27
49,ESTC,Elastic N.V.,63.39,4.55,7.73,1.891M,1.601M,6.06B,
50,KMX,"CarMax, Inc.",75.84,5.39,7.65,3.654M,2.805M,11.985B,20.33
51,ZIM,ZIM Integrated Shipping Services Ltd.,20.39,1.44,7.6,5.624M,4.16M,2.448B,0.41
52,XM,Qualtrics International Inc.,16.95,1.18,7.48,6.905M,2.002M,10.066B,
53,MPWR,"Monolithic Power Systems, Inc.",457.77,31.21,7.32,1.083M,563176,21.489B,56.51
54,RMBS,Rambus Inc.,43.41,2.94,7.26,1.495M,850651,4.666B,
55,WK,Workiva Inc.,92.79,6.26,7.23,656342,331175,4.876B,
56,ASAN,"Asana, Inc.",16.62,1.12,7.23,3.082M,3.703M,3.536B,
57,DOCN,"DigitalOcean Holdings, Inc.",31.47,2.12,7.22,1.223M,1.306M,3.03B,
58,NVDA,NVIDIA Corporation,209.43,14.06,7.2,65.7M,46.49M,521.9B,56.16
59,PI,"Impinj, Inc.",139.11,9.33,7.19,820236,441575,3.605B,
60,RNR,RenaissanceRe Holdings Ltd.,209.53,13.84,7.07,707267,351086,9.157B,
61,LAZR,"Luminar Technologies, Inc.",7.14,0.47,7.05,8.984M,7.38M,2.59B,
62,SE,Sea Limited,68.95,4.5,6.98,4.401M,5.877M,38.732B,
63,CFLT,"Confluent, Inc.",24.69,1.59,6.88,7.688M,3.325M,7.071B,
64,MRVL,"Marvell Technology, Inc.",46.12,2.97,6.88,14.963M,11.495M,39.35B,
65,NEU,NewMarket Corporation,367.81,23.3,6.76,88853,52266,3.631B,18.06
66,AMAT,"Applied Materials, Inc.",119.01,7.52,6.75,9.886M,6.756M,100.335B,16.0
67,AMC,"AMC Entertainment Holdings, Inc.",5.71,0.36,6.73,36.194M,29.436M,2.931B,
68,ADYEY,Adyen N.V.,16.04,1.0,6.65,574151,849936,50.263B,84.42
69,MKSI,"MKS Instruments, Inc.",109.07,6.75,6.6,832118,841298,7.254B,14.48
70,GFS,GLOBALFOUNDRIES Inc.,63.19,3.91,6.6,1.582M,2.174M,34.443B,42.99
