Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
HBI,Hanesbrands Inc.,6.28,-2.43,-27.9,67733000.0,9760000.0,2.191,6.22
WMS,"Advanced Drainage Systems, Inc.",86.44,-17.66,-16.96,4592000.0,897845.0,7.162,15.95
SLM,SLM Corporation,14.8,-2.99,-16.81,10859000.0,1348000.0,3.703,4.85
ROIV,Roivant Sciences Ltd.,7.59,-0.95,-11.12,4582000.0,2209000.0,5.506,
CHX,ChampionX Corporation,29.11,-3.39,-10.43,7597000.0,1527000.0,5.803,47.72
RADLY,Raia Drogasil S.A.,7.0,-0.8,-10.26,42542.0,9368.0,11.534,63.64
ARRY,"Array Technologies, Inc.",20.22,-2.27,-10.09,10865000.0,4182000.0000000005,3.043,
SIRI,Sirius XM Holdings Inc.,5.3,-0.56,-9.56,47993000.0,13850000.0,20.615,18.28
CNHI,CNH Industrial N.V.,16.32,-1.58,-8.83,16763000.000000002,3983000.0,21.942,12.09
PBH,Prestige Consumer Healthcare Inc.,60.35,-5.84,-8.82,924552.0,252727.0,2.989,14.54
FLNC,"Fluence Energy, Inc.",22.58,-1.8,-7.38,1995000.0,1113000.0,3.945,
APD,"Air Products and Chemicals, Inc.",295.5,-22.63,-7.11,2782000.0,1100000.0,65.597,29.32
INGVF,ING Groep N.V.,13.74,-1.04,-7.06,717293.0,70939.0,49.892,11.85
FQVLF,First Quantum Minerals Ltd.,21.47,-1.62,-7.02,25523.0,55837.0,14.867,12.86
MKL,Markel Corporation,1303.64,-97.51,-6.96,113370.0,33134.0,17.534,720.24
LSXMK,The Liberty SiriusXM Group,38.14,-2.77,-6.77,2226000.0,791122.0,12.46,14.23
LSXMA,The Liberty SiriusXM Group,38.3,-2.78,-6.77,1519000.0,624947.0,12.469,14.29
DB,Deutsche Bank Aktiengesellschaft,12.58,-0.91,-6.75,8898000.0,3918000.0,25.628,7.27
FTI,TechnipFMC plc,13.01,-0.92,-6.6,7201000.0,6498000.0,5.808,
FSLR,"First Solar, Inc.",168.67,-11.48,-6.37,3300000.0,2744000.0,17.981,181.37
SDRL,Seadrill Limited,42.0,-2.83,-6.31,369658.0,226473.0,2.1,1.24
CELH,"Celsius Holdings, Inc.",94.13,-6.32,-6.29,1655000.0,988575.0,7.175,376.52
LSPD,Lightspeed Commerce Inc.,17.55,-1.17,-6.25,3910000.0,1203000.0,2.639,
SAPMY,Saipem SpA,0.3,-0.02,-6.25,31970.0,27377.0,2.993,
SLB,Schlumberger Limited,52.29,-3.41,-6.12,16828000.0,11144000.0,74.262,21.88
SHLS,"Shoals Technologies Group, Inc.",26.36,-1.71,-6.09,3773000.0,2884000.0,3.045,219.67
AMLX,"Amylyx Pharmaceuticals, Inc.",37.0,-2.39,-6.07,1401000.0,788295.0,2.451,
QFIN,"360 DigiTech, Inc.",23.49,-1.51,-6.04,1543000.0,1709000.0,3.745,5.74
ALHC,"Alignment Healthcare, Inc.",11.73,-0.75,-6.01,797240.0,722745.0,2.197,
AFL,Aflac Incorporated,68.9,-4.38,-5.98,5567000.0,2816000.0,43.539,8.81
QRVO,"Qorvo, Inc.",106.97,-6.56,-5.78,3688000.0,1283000.0,10.846,16.06
KOS,Kosmos Energy Ltd.,7.34,-0.44,-5.66,6771000.0,5753000.0,3.346,7.81
TW,Tradeweb Markets Inc.,71.33,-4.27,-5.65,1891000.0,955413.0,16.485,54.45
HAL,Halliburton Company,38.56,-2.28,-5.58,13507000.0,9228000.0,35.014,22.16
CRZBY,Commerzbank AG,10.94,-0.64,-5.53,90426.0,25016.0,13.701,10.32
UNM,Unum Group,40.94,-2.36,-5.45,2360000.0,1357000.0,8.096,6.3
COP,ConocoPhillips,111.3,-6.4,-5.44,10274000.0,5953000.0,138.688,8.0
AGCO,AGCO Corporation,131.7,-7.52,-5.4,1645000.0,581839.0,9.825,11.63
NOV,NOV Inc.,22.96,-1.31,-5.4,4590000.0,2914000.0,9.019,1148.0
PENN,"PENN Entertainment, Inc.",33.92,-1.93,-5.38,6057000.0,2375000.0,5.262,24.06
TDW,Tidewater Inc.,42.03,-2.36,-5.32,1118000.0,764609.0,2.122,
UNH,UnitedHealth Group Incorporated,470.83,-26.17,-5.27,11152000.0,3432000.0,439.92,22.23
ING,ING Groep N.V.,13.87,-0.77,-5.26,5889000.0,4328000.0,50.36,12.38
ATKR,Atkore Inc.,141.11,-7.8,-5.24,1061000.0,474203.0,5.575,5.95
BAK,Braskem S.A.,8.98,-0.49,-5.17,543211.0,417904.0,3.575,9.35
LU,Lufax Holding Ltd,3.12,-0.17,-5.17,19433000.0,20061000.0,7.132,4.05
SID,Companhia Siderúrgica Nacional,3.49,-0.19,-5.16,3687000.0,3630000.0,4.842,9.69
CHFLF,China Feihe Limited,0.9081,-0.049,-5.12,920792.0,1175000.0,8.417,10.09
MHGVY,Mowi ASA,17.88,-0.96,-5.1,38789.0,47826.0,9.246,11.76
RIO,Rio Tinto Group,75.15,-3.94,-4.98,5589000.0,3093000.0,121.807,6.92
NVO,Novo Nordisk A/S,132.34,-6.74,-4.85,4062000.0000000005,1409000.0,297.549,39.04
MXL,"MaxLinear, Inc.",41.17,-2.07,-4.79,1383000.0,470200.0,3.235,25.89
DE,Deere & Company,406.55,-20.44,-4.79,2550000.0,1504000.0,120.809,17.46
EDU,New Oriental Education & Technology Group Inc.,43.0,-2.16,-4.78,1957000.0,2655000.0,7.313,
LPLA,LPL Financial Holdings Inc.,224.53,-11.02,-4.68,1185000.0,874509.0,17.873,28.79
ATLPF,Atlas Copco AB,12.54,-0.61,-4.67,217984.0,4511.0,53.069,28.49
ASND,Ascendis Pharma A/S,117.74,-5.76,-4.66,276486.0,465881.0,6.714,
TS,Tenaris S.A.,33.08,-1.61,-4.64,3487000.0,1907000.0,19.848,9.24
PBR-A,Petróleo Brasileiro S.A. - Petrobras,9.72,-0.47,-4.61,12757000.0,13370000.0,68.083,1.86
MTDR,Matador Resources Company,61.43,-2.95,-4.58,1321000.0,978334.0,7.259,6.27
HUM,Humana Inc.,489.77,-23.51,-4.58,2572000.0,1064000.0,62.005,22.18
OSH,"Oak Street Health, Inc.",27.38,-1.28,-4.47,2012000.0,2395000.0,6.651,
RES,"RPC, Inc.",9.28,-0.43,-4.43,1556000.0,1314000.0,2.01,9.19
SPGYF,Whitecap Resources Inc.,7.79,-0.36,-4.42,64466.0,68106.0,4.757,4.14
EL,The Estée Lauder Companies Inc.,268.41,-12.39,-4.41,3666000.0,1796000.0,95.772,44.59
ACGL,Arch Capital Group Ltd.,61.35,-2.83,-4.41,2069999.9999999998,1862000.0,22.692,19.73
PBR,Petróleo Brasileiro S.A. - Petrobras,10.92,-0.5,-4.38,34317000.0,32366000.0,71.221,2.12
GGB,Gerdau S.A.,6.12,-0.28,-4.38,10428000.0,12679000.0,10.454,3.85
CVE,Cenovus Energy Inc.,18.41,-0.84,-4.36,9887000.0,6161000.0,35.327,9.39
FUTU,Futu Holdings Limited,53.55,-2.43,-4.34,2937000.0,3618000.0,7.519,26.64
SCHYY,Sands China Ltd.,36.72,-1.66,-4.33,20181.0,52752.0,29.718,
VALE,Vale S.A.,17.66,-0.79,-4.28,27021000.0,27741000.0,81.944,4.61
VRTX,Vertex Pharmaceuticals Incorporated,303.78,-13.49,-4.25,1943000.0,1421000.0,77.978,24.44
CALM,"Cal-Maine Foods, Inc.",54.74,-2.43,-4.25,971219.0,998054.0,2.678,5.65
PTC,PTC Inc.,132.31,-5.8,-4.2,2581000.0,744693.0,15.633,48.82
MBFJF,"Mitsubishi UFJ Financial Group, Inc.",7.09,-0.31,-4.19,713120.0,251086.0,91.202,20.26
OROCF,Allkem Limited,9.16,-0.4,-4.18,23010.0,23524.0,5.841,18.32
RE,"Everest Re Group, Ltd.",341.43,-14.9,-4.18,440803.0,281373.0,13.372,25.35
BTG,B2Gold Corp.,3.9,-0.17,-4.18,10425000.0,10027000.0,4.191,16.96
GELYF,Geely Automobile Holdings Limited,1.63,-0.07,-4.12,69796.0,53578.0,16.393,27.17
CAIXY,"CaixaBank, S.A.",1.4,-0.06,-4.11,50972.0,114065.0,31.853,10.0
