Ticker,Company,Sector,Industry,Country,Market_Cap,P_E,Price,Change,Volume,Signals,NoOf_Signals,Index,EPS_(ttm),Insider_Own(%),Shs_Outstand,Perf_Week(%),Forward_P_E,EPS_next_Y,Insider_Trans(%),Shs_Float,Perf_Month(%),Income,PEG,EPS_next_Q,Inst_Own(%),Perf_Quarter(%),Sales,P_S,EPS_this_Y(%),Inst_Trans(%),Short_Interest,Perf_Half_Y(%),Book_sh,P_B,EPS_next_Y_Percentage(%),ROA(%),Target_Price,Perf_Year(%),Cash_sh,P_C,EPS_next_5Y(%),ROE(%),52W_Range_From,52W_Range_To,Perf_YTD(%),Dividend,P_FCF,EPS_past_5Y(%),ROI(%),52W_High(%),Beta,Dividend_%(%),Quick_Ratio,Sales_past_5Y(%),Gross_Margin(%),52W_Low(%),ATR,Employees,Current_Ratio,Sales_Q_Q(%),Oper._Margin(%),RSI_(14),Volatility_W(%),Volatility_M(%),Optionable,Debt_Eq,EPS_Q_Q(%),Profit_Margin(%),Rel_Volume,Prev_Close,Shortable,LT_Debt_Eq,Payout(%),Avg_Volume,Recom,SMA20(%),SMA50(%),SMA200(%),Date,Short_Float_Percentage(%),Short_Float_Ratio,Earnings_Date,Earnings_Timing
VLON,"Vallon Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,6480000,,0.88,0.9027,175667944,"['Most Active', 'Overbought', 'Top Gainers', 'Unusual Volume']",4,-,-1.13,0.3,12110000,211.06,,,0.0,6960000.0,203.45,-8500000.0,,,18.0,245.1,,,92.9,3.27,150000.0,107.55,0.29,3.03,,122.6,,83.4,0.69,1.27,,209.5,0.21,8.35,203.45,,,,,89.46,,,2.6,,,328.43,0.12,3,2.6,,,89.95,47.61,19.89,False,0.0,53.8,,37.79,0.46,True,0.0,,4650000,2.0,199.64,204.25,103.22,2023-02-13,2.11,0.03,2022-11-03,AMC
CJJD,"China Jo-Jo Drugstores, Inc.",Healthcare,Pharmaceutical Retailers,China,130500000,,7.1,0.4343,5234517,"['Most Volatile', 'Overbought', 'Top Gainers', 'Unusual Volume']",4,-,-0.97,7.05,4530000,87.34,,,0.0,2900000.0,161.99,-3500000.0,,,11.1,322.62,158600000.0,0.82,61.6,0.97,180000.0,145.67,5.13,1.38,,3.3,,47.92,0.77,9.19,30.0,14.3,1.43,7.91,98.6,,,22.7,6.3,10.24,0.21,,0.8,15.1,24.0,396.5,0.63,911,1.0,104.8,2.2,81.76,18.98,14.1,False,1.21,92.8,2.2,9.44,4.95,True,0.0,,554650,,101.99,98.98,182.88,2023-02-13,6.04,0.32,,
WISH,ContextLogic Inc.,Consumer Cyclical,Internet Retail,USA,595460000,,0.88,0.3734,166366247,"['Most Active', 'Top Gainers', 'Unusual Volume']",3,-,-0.5,4.4,673000000,19.4,,-0.53,55.54,582350000.0,37.75,-332000000.0,,-0.18,46.8,21.18,737000000.0,0.81,54.8,3.72,47790000.0,48.01,0.85,1.03,5.4,30.6,1.7,63.99,1.24,0.71,9.6,46.9,0.44,2.67,80.17,,,17.4,46.1,67.09,,,2.7,36.2,35.3,101.86,0.09,1218,2.7,66.0,46.8,68.31,20.75,12.76,True,0.0,80.8,45.0,8.27,0.64,True,0.0,,20130000,3.5,31.8,44.09,22.32,2023-02-13,8.21,2.37,2023-02-23,AMC
OCUL,"Ocular Therapeutix, Inc.",Healthcare,Biotechnology,USA,410030000,,5.23,0.3514,27114073,"['Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",4,-,-0.77,0.1,76980000,23.06,,-0.85,169.33,76100000.0,35.14,-59300000.0,,-0.25,56.6,72.61,49700000.0,8.25,96.7,2.99,2940000.0,4.56,0.6,8.72,11.5,32.8,11.43,5.42,1.54,3.39,,84.8,2.57,6.53,86.12,,,45.6,56.0,19.85,1.39,,4.9,87.3,90.7,103.5,0.36,228,5.0,1.6,,76.41,11.73,6.91,True,0.0,,,44.69,3.87,True,1.15,,606780,1.9,29.82,53.86,30.9,2023-02-13,3.86,4.84,2022-11-07,AMC
LUXH,LuxUrban Hotels Inc.,Consumer Cyclical,Lodging,USA,63820000,,2.47,0.33509999999999995,626670,"['Most Volatile', 'Top Gainers', 'Unusual Volume']",3,-,-0.04,4.4,24090000,47.53,10.74,0.23,0.0,6280000.0,41.95,-800000.0,,-0.02,1.0,52.94,49600000.0,1.29,51.6,,60000.0,33.24,0.2,12.35,675.0,1.6,5.0,,0.05,49.1,,12.2,1.24,5.00,45.3,,,,17.5,50.6,,,0.6,,47.4,99.19,0.16,107,0.6,33.0,7.3,79.51,11.2,7.47,False,1.67,48.4,1.6,16.42,1.85,True,0.35,,38150,2.0,44.73,45.98,32.69,2023-02-13,0.96,1.57,,
NGL,NGL Energy Partners LP,Energy,Oil & Gas Refining & Marketing,USA,287970000,,2.68,0.28850000000000003,4842930,"['Most Volatile', 'Overbought', 'Top Gainers', 'Unusual Volume']",4,-,-1.02,3.1,131020000,56.73,33.5,0.08,18.08,122200000.0,75.16,-133100000.0,,0.1,26.1,100.0,9210000000.0,0.03,60.8,5.39,380000.0,59.52,3.72,0.72,500.0,0.2,2.5,39.58,0.04,63.99,3.0,2.4,1.0,2.74,121.49,,6.26,43.9,2.1,2.19,1.86,,0.9,9.0,9.8,168.0,0.16,842,1.0,1.5,3.8,88.21,12.49,7.55,True,6.61,155.7,0.1,6.48,2.08,True,5.99,,747450,3.3,63.07,95.14,76.31,2023-02-13,0.31,0.51,2023-02-09,AMC
FSLY,"Fastly, Inc.",Technology,Software - Application,USA,1600000000,,12.6,0.2766,34796886,"['Major News', 'Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume', 'Upgrades']",6,-,-1.68,7.7,122340000,15.81,,-0.46,6.27,111620000.0,30.98,-201600000.0,,-0.13,63.0,31.52,411100000.0,3.9,107.1,4.86,11620000.0,3.36,7.9,1.59,30.8,9.9,10.45,55.97,4.19,3.01,30.0,20.4,7.15,29.99,53.85,,,,11.0,57.99,1.36,,4.4,,47.9,76.22,0.85,976,4.4,25.1,48.7,66.03,9.35,7.02,True,0.78,7.4,49.0,11.37,9.87,True,0.75,,3060000,3.2,20.55,32.29,21.36,2023-02-13,10.41,3.8,2023-02-15,AMC
TOPS,Top Ships Inc.,Industrials,Marine Shipping,Greece,17260000,,1.65,0.2595,94262904,"['Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",4,-,-3.83,0.05,10290000,16.2,0.68,2.44,0.0,10290000.0,22.22,-8500000.0,,,0.4,53.91,69900000.0,0.25,229.3,69.2,130000.0,79.43,41.55,0.04,167.4,2.3,,91.99,1.37,1.21,,8.2,1.04,32.80,29.92,,,52.96,0.8,94.97,0.58,,0.4,35.7,97.7,58.9,0.19,1,0.5,19.0,36.7,59.72,15.9,10.05,False,2.76,71.8,12.1,31.61,1.31,True,2.59,,2980000,3.0,18.39,8.15,71.99,2023-02-13,1.27,0.04,,
COMS,COMSovereign Holding Corp.,Communication Services,Telecom Services,USA,12680000,,5.35,0.2299,27157541,"['Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",4,-,-2.04,13.24,86130000,25.49,,,0.0,2560000.0,22.69,-165100000.0,,,3.1,13.99,11100000.0,1.14,10.6,,170000.0,66.14,0.17,31.47,,154.9,,89.52,0.04,126.79,,257.2,4.2,95.00,25.17,,,9.9,202.6,94.37,2.0,,0.3,53.8,27.2,27.38,1.19,144,0.6,12.5,,41.2,21.16,16.85,True,1.19,188.1,,37.53,4.35,False,0.4,,723600,2.0,23.85,31.88,57.88,2023-02-13,6.6,0.23,,
IREN,Iris Energy Limited,Financial,Capital Markets,Australia,123820000,,2.13,0.2102,694973,"['Most Volatile', 'Top Gainers']",2,-,-10.25,23.97,54980000,3.84,,-0.35,0.0,41800000.0,27.54,-419800000.0,,-0.13,21.8,10.88,59000000.0,2.1,834.4,4.68,1060000.0,64.2,10.68,0.2,31.4,71.6,6.3,85.55,1.89,1.13,,181.8,1.02,17.97,70.4,,,,0.4,88.15,,,1.9,,,108.82,0.23,102,1.9,646.8,0.4,55.82,15.63,10.93,True,0.25,834.4,,2.21,1.76,True,0.11,,314160,2.3,2.82,29.2,42.71,2023-02-13,2.53,3.36,,
