Ticker,Company,Sector,Industry,Country,Market_Cap,P_E,Price,Change,Volume,Signals,NoOf_Signals,Index,EPS_(ttm),Insider_Own(%),Shs_Outstand,Perf_Week(%),Forward_P_E,EPS_next_Y,Insider_Trans(%),Shs_Float,Perf_Month(%),Income,PEG,EPS_next_Q,Inst_Own(%),Perf_Quarter(%),Sales,P_S,EPS_this_Y(%),Inst_Trans(%),Short_Interest,Perf_Half_Y(%),Book_sh,P_B,EPS_next_Y_Percentage(%),ROA(%),Target_Price,Perf_Year(%),Cash_sh,P_C,EPS_next_5Y(%),ROE(%),52W_Range_From,52W_Range_To,Perf_YTD(%),Dividend,P_FCF,EPS_past_5Y(%),ROI(%),52W_High(%),Beta,Dividend_%(%),Quick_Ratio,Sales_past_5Y(%),Gross_Margin(%),52W_Low(%),ATR,Employees,Current_Ratio,Sales_Q_Q(%),Oper._Margin(%),RSI_(14),Volatility_W(%),Volatility_M(%),Optionable,Debt_Eq,EPS_Q_Q(%),Profit_Margin(%),Rel_Volume,Prev_Close,Shortable,LT_Debt_Eq,Payout(%),Avg_Volume,Recom,SMA20(%),SMA50(%),SMA200(%),Date,Short_Float_Percentage(%),Short_Float_Ratio,Earnings_Date,Earnings_Timing
MHUA,"Meihua International Medical Technologies Co., Ltd.",Healthcare,Medical Instruments & Supplies,China,892660000,27.38,26.01,0.34490000000000004,41162,"['Most Volatile', 'New High', 'Top Gainers']",3,-,0.95,57.86,22870000,60.06,,,0.0,15210000.0,150.58,,,,0.1,154.0,110510000.0,8.08,10.0,124.02,50000.0,610.66,6.21,4.19,,,,,1.0,26.1,,,2.6,21.23,214.13,,,,18.6,22.52,,,5.4,,,900.38,2.94,622,5.4,18.6,,76.75,20.55,20.19,False,0.04,43.7,,0.87,19.34,False,0.0,,47170,,68.34,126.72,236.58,2023-02-17,0.3,0.98,2022-11-14,BMO
AMCX,AMC Networks Inc.,Communication Services,Broadcasting,USA,1160000000,4.1,27.13,0.3234,2744169,"['Earnings Before', 'Major News', 'Most Volatile', 'Overbought', 'Top Gainers', 'Unusual Volume']",6,-,6.62,0.2,43240000,51.14,4.04,6.71,0.0,27590000.0,58.75,289300000.0,,1.2,89.1,32.34,2940000000.0,0.39,24.4,1.72,1210000.0,5.47,23.18,1.17,12.58,5.0,19.5,28.51,18.56,1.46,12.2,30.9,14.45,44.05,73.13,,12.85,9.1,10.0,38.41,1.26,,1.8,2.2,54.8,87.75,1.30,1739,1.8,15.9,18.5,85.08,8.54,4.86,True,2.84,24.0,9.9,6.20,20.50,True,2.8,,442640,3.3,47.48,55.25,8.67,2023-02-17,4.39,2.74,2023-02-17,BMO
EOSE,"Eos Energy Enterprises, Inc.",Industrials,Electrical Equipment & Parts,USA,160990000,,1.95,0.27449999999999997,13041080,"['Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",4,-,-3.55,0.8,82590000,46.62,,-2.06,55.65,76250000.0,43.38,-203800000.0,,-0.72,33.7,61.16,18400000.0,8.75,67.9,5.78,7160000.0,5.34,-1.4,,45.1,153.2,4.58,42.48,0.47,4.19,,657.7,0.95,4.97,31.76,,,,94.2,60.76,,,1.0,,,104.19,0.16,251,1.5,771.4,,74.55,15.06,10.83,True,,231.9,,5.39,1.53,True,,,2420000,2.1,40.69,48.99,17.8,2023-02-17,9.39,2.96,2022-11-07,AMC
MGNX,"MacroGenics, Inc.",Healthcare,Biotechnology,USA,416630000,,6.61,0.25670000000000004,2894759,"['Most Volatile', 'Recent Insider Buying', 'TL Resistance', 'Top Gainers', 'Unusual Volume']",5,-,-3.11,0.1,61460000,19.96,,-2.34,,59880000.0,25.9,-190600000.0,,0.25,94.5,1.93,93000000.0,4.48,36.3,8.33,4600000.0,50.23,2.0,3.31,24.5,74.7,10.4,40.98,1.96,3.37,,111.6,2.13,11.17,1.49,,,14.8,84.6,40.82,1.98,,2.9,3.4,93.0,210.33,0.62,427,3.0,165.6,,58.96,22.04,10.23,True,0.0,53.3,,3.92,5.26,True,0.0,,738700,1.9,15.48,13.44,43.56,2023-02-17,7.68,6.22,2022-11-03,AMC
USM,United States Cellular Corporation,Communication Services,Telecom Services,USA,2109999999,26.55,26.15,0.2452,873776,"['Most Volatile', 'Top Gainers']",2,-,0.98,72.58,85000000,21.8,46.04,0.57,0.02,14540000.0,17.95,85000000.0,2.46,-0.33,26.6,14.95,4190000000.0000005,0.5,13.9,1.98,1010000.0,12.72,53.99,0.48,59.55,0.8,28.2,16.96,,,10.8,1.9,19.22,32.65,25.42,,19.21,25.8,2.1,19.91,0.68,,1.3,0.7,52.5,36.06,1.23,4800,1.5,6.6,2.4,65.0,6.52,4.91,True,0.68,136.1,2.0,2.76,21.00,True,0.68,,316440,2.8,14.06,19.84,0.94,2023-02-17,6.95,3.19,2023-02-16,AMC
TDS,"Telephone and Data Systems, Inc.",Communication Services,Telecom Services,USA,1380000000,32.08,13.7,0.2309,3797402,"['Most Volatile', 'Top Gainers']",2,-,0.43,6.94,114000000,19.03,,-0.23,0.0,91110000.0,18.21,49000000.0,,-0.36,97.3,29.25,5430000000.0,0.25,48.7,1.08,6860000.0,19.22,42.37,0.32,475.0,0.3,18.0,34.45,,,,1.0,9.65,21.00,30.6,0.72,,21.1,2.9,34.76,1.07,5.26,1.3,0.7,52.6,41.97,0.71,8800,1.5,4.8,3.2,62.22,7.43,5.69,True,0.75,190.9,0.9,1.47,11.13,True,0.75,168.6,2580000,2.2,10.04,19.43,4.96,2023-02-17,7.53,2.65,2023-02-16,AMC
GRIL,"Muscle Maker, Inc.",Consumer Cyclical,Restaurants,USA,40300000,,1.39,0.2193,1809307,"['Most Volatile', 'New High', 'Top Gainers']",3,-,-0.43,3.1,28670000,40.42,,,9.25,25250000.0,49.05,-7700000.0,,,10.2,348.39,11500000.0,3.5,62.7,6.57,1180000.0,202.17,0.73,1.9,,29.0,,147.77,0.47,2.98,,37.8,0.3,1.20,52.75,,,18.2,31.6,15.83,,,5.3,15.9,14.0,363.33,0.10,380,5.4,123.1,57.4,78.17,12.84,9.32,False,0.05,80.3,66.9,2.98,1.14,True,0.04,,607660,,43.09,49.6,163.02,2023-02-17,4.67,1.94,,
SERA,"Sera Prognostics, Inc.",Healthcare,Diagnostics & Research,USA,102960000,,3.6,0.2162,2781365,"['Most Volatile', 'Overbought', 'Top Gainers']",3,-,-1.52,0.2,31010000,179.07,,-1.71,0.0,25210000.0,122.22,-46900000.0,,-0.37,51.9,151.75,200000.0,514.8,76.4,0.3,70000.0,65.14,3.46,1.04,15.5,35.9,3.0,48.72,3.1,1.16,,38.3,1.1,7.22,185.71,,,,,50.1,,,10.5,,35.4,227.27,0.33,115,10.5,278.3,,86.41,32.51,12.43,False,0.01,6.9,,2.17,2.96,True,0.01,,1280000,1.7,135.65,151.42,116.83,2023-02-17,0.26,0.05,2022-11-09,AMC
SNAL,"Snail, Inc.",Communication Services,Electronic Gaming & Multimedia,USA,81230000,,2.07,0.20350000000000001,181060,"['Most Volatile', 'Top Gainers']",2,-,,0.3,36910000,31.01,,,0.0,2980000.0,18.97,,,,0.01,33.01,82670000.0,0.98,72.4,,130000.0,,19.9,0.1,,,,,0.37,5.53,,,1.26,4.36,40.82,,,,23.1,52.52,,,0.8,,,64.29,0.17,63,0.8,35.9,,67.16,12.6,8.47,False,1.75,,,1.77,1.72,True,0.24,,102330,,22.27,24.18,5.35,2023-02-17,4.22,1.23,2022-12-15,AMC
SRNE,"Sorrento Therapeutics, Inc.",Healthcare,Biotechnology,USA,145370000,,0.31,0.20199999999999999,179930404,"['Most Active', 'Top Gainers', 'Unusual Volume']",3,-,-1.33,1.0,471880000,67.02,,-0.74,4.45,465680000.0,73.28,-493600000.0,,-0.2,35.4,49.48,60300000.0,2.41,11.9,7.93,64560000.0,62.54,0.29,1.07,32.1,70.6,7.67,74.82,0.25,1.23,37.0,346.9,0.16,1.25,13.33,,,3.7,169.3,75.23,2.06,,0.8,45.4,62.1,92.55,0.12,799,0.9,43.8,,30.46,68.31,22.5,True,0.54,50.5,,5.13,0.26,True,0.14,,35080000,2.0,63.28,56.13,58.14,2023-02-17,13.86,1.84,,
