Ticker,Company,Sector,Industry,Country,Description
BPOP,"Popular, Inc.",Financial,Banks - Regional,USA,"Popular, Inc., through its subsidiaries, provides various retail, mortgage, and commercial banking products and services in Puerto Rico, the United States, and British Virgin Islands. The company provides savings, NOW, money market, and other interest-bearing demand accounts; non-interest bearing demand deposits; and certificates of deposit. It also offers commercial and industrial, commercial multi-family, commercial real estate, and residential mortgage loans; consumer loans, including personal loans, credit cards, automobile loans, home equity lines of credit, and other loans to individual borrowers; construction loans; and lease financing comprising automobile loans/leases. In addition, the company provides investment banking, auto and equipment leasing and financing, broker-dealer, and insurance services; debit cards; and online banking services. As of December 31, 2021, it operated 169 branches; and 616 ATMs in Puerto Rico, 23 ATMs in the Virgin Islands, and 91 ATMs in the United States Mainland. Popular, Inc. was founded in 1893 and is headquartered in Hato Rey, Puerto Rico."
NVX,Novonix Limited,Industrials,Electrical Equipment & Parts,Australia,"Novonix Limited develops and supplies battery materials, equipment, and services to the lithium-ion battery market in North America. It operates through three segments: Graphite Exploration and Mining, Battery Technology, and Battery Materials. The Graphite Exploration and Mining segment explores for graphite in Australia. The Battery Technology segment develops battery cell testing equipment and batteries, and consulting services. The Battery Materials segment develops and manufactures battery anode materials. The company is also involved in the investment and battery testing activities. The company was formerly known as Graphitecorp Limited and changed its name to Novonix Limited in July 2017. Novonix Limited was incorporated in 2012 and is based in Brisbane, Australia."
LUCD,Lucid Diagnostics Inc.,Healthcare,Medical Devices,USA,"Lucid Diagnostics Inc. operates as a commercial-stage medical diagnostics technology company. The company focuses on patients with gastroesophageal reflux disease, which is also known as chronic heartburn, acid reflux, or simply reflux, who are at risk of developing esophageal precancer and cancer, specifically highly lethal esophageal adenocarcinoma. Its lead products include EsoGuard, a laboratory developed esophageal DNA test; and EsoCheck, an esophageal cell collection device. The company was incorporated in 2018 and is based in New York, New York. Lucid Diagnostics Inc. is a subsidiary of PAVmed Inc."
TRMR,Tremor International Ltd,Communication Services,Advertising Agencies,Israel,"Tremor International Ltd. provides end-to-end software platform that enables advertisers to reach relevant audiences and publishers. The company's demand side platform (DSP) offers full-service and self-managed marketplace access to advertisers and agencies in order to execute their digital marketing campaigns in real time across various ad formats. Its sell supply side platform (SSP) provides access to data and a comprehensive product suite to drive inventory management and revenue optimization. The company also offers data management platform solution, which integrates DSP and SSP solutions enabling advertisers and publishers to use data from various sources in order to optimize results of their advertising campaigns. It serves Ad buyers, advertisers, brands, agencies, and digital publishers in Israel, the United States, the Asia-Pacific, Europe, the Middle East, and Africa. The company was formerly known as Taptica International Ltd. and changed its name to Tremor International Ltd. in September 2015. Tremor International Ltd. was incorporated in 2007 and is headquartered in Tel Aviv-Yafo, Israel."
SPIR,"Spire Global, Inc.",Industrials,Specialty Business Services,USA,"Spire Global, Inc. develops a hardware and intelligent analytics platform that tracks the oceans, skies, and weather. It serves maritime, weather, aviation, space services, earth intelligence, and federal industries. Spire Global, Inc. has a strategic partnership with TAC Index Limited. Spire Global, Inc. was formerly known as Nanosatisfi, Inc. and changed its name to Spire Global, Inc. in July 2014. The company was incorporated in 2012 and is based in San Francisco, California with additional offices in Boulder, Colorado; Washington, D.C.; Glasgow, United Kingdom; Luxembourg; and Singapore."
WAVD,"WaveDancer, Inc.",Technology,Information Technology Services,USA,"WaveDancer, Inc. engages in development and maintenance of information technology systems, modernizing client information systems, and offers other IT-related professional services to government and commercial organizations in the United States. It also offers secure supply chain management software solution; and software development, system modernizations, cloud-based solutions, and cybersecurity services. The company was formerly known as Information Analysis Incorporated and changed its name to WaveDancer, Inc. in December 2021. WaveDancer, Inc. was incorporated in 1979 and is headquartered in Fairfax, Virginia."
CPNG,"Coupang, Inc.",Consumer Cyclical,Internet Retail,South Korea,"Coupang, Inc. owns and operates in e-commerce business through its mobile applications and Internet websites primarily in South Korea. It operates through two segments, Product Commerce and Growth Initiatives. The company sells various products and services in the categories of home goods and decor products, apparel, beauty products, fresh food and groceries, sporting goods, electronics, and everyday consumables, as well as travel, and restaurant order and delivery services. It also performs operations and support services in China, Singapore, Japan, Taiwan, and the United States. Coupang, Inc. was incorporated in 2010 and is headquartered in Seoul, South Korea."
XERS,"Xeris Biopharma Holdings, Inc.",Healthcare,Biotechnology,USA,"Xeris Biopharma Holdings, Inc., a biopharmaceutical company, engages in developing and commercializing therapies for patient populations in endocrinology, neurology, and gastroenterology. The company markets Gvoke, a ready-to-use liquid glucagon for the treatment of severe hypoglycemia; and Keveyis, a therapy for the treatment of hyperkalemic, hypokalemic, and related variants of primary periodic paralysis; and Recorlev, a cortisol synthesis inhibitor proved for the treatment of endogenous hypercortisolemia in adult patients with Cushing's syndrome. It also has a pipeline of development programs to extend the marketed products into new indications and uses and bring new products using its proprietary formulation technology platforms, XeriSol and XeriJect. The company was incorporated in 2005 and is headquartered in Chicago, Illinois."
CZNC,Citizens & Northern Corporation,Financial,Banks - Regional,USA,"Citizens & Northern Corporation operates as the bank holding company for Citizens & Northern Bank that provides a range of banking and mortgage services to individual and corporate customers. The company offers lending products include commercial, mortgage, and consumer loans, as well as specialized instruments, such as commercial letters-of-credit; and deposit products, including various types of checking accounts, passbook and statement savings accounts, money market accounts, interest checking accounts, individual retirement accounts, and certificates of deposits. It also offers wealth management services, including administration of trusts and estates, retirement plans, and other employee benefit plans, and investment management services; and a range of personal and commercial insurance products; mutual funds, annuities, educational savings accounts, and other investment products through registered agents. In addition, the company reinsures credit and mortgage, life and accident, and health insurance products. As of December 31, 2021, it had 31 branch offices, including 23 in the Northern tier/Northcentral region of Pennsylvania, 2 in the Southern tier of New York State, 4 in Southeastern Pennsylvania, and 2 in Southcentral Pennsylvania, as well as a lending office in Elmira, New York. The company was founded in 1864 and is based in Wellsboro, Pennsylvania."
UAE,iShares MSCI UAE ETF,Financial,Exchange Traded Fund,USA,"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is designed to measure the equity market in the United Arab Emirates (""UAE""). The fund is non-diversified."
