Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1999-01-22,0.4375,0.4883,0.388,0.4102,0.3764,271468800,0.0,0.0
1999-01-25,0.4427,0.4583,0.4102,0.4531,0.4159,51048000,0.0,0.0
1999-01-26,0.4583,0.4674,0.4115,0.418,0.3836,34320000,0.0,0.0
1999-01-27,0.4193,0.4297,0.3958,0.4167,0.3824,24436800,0.0,0.0
1999-01-28,0.4167,0.4193,0.4128,0.4154,0.3812,22752000,0.0,0.0
1999-01-29,0.4154,0.4167,0.3958,0.3958,0.3633,24403200,0.0,0.0
1999-02-01,0.3958,0.4062,0.3958,0.4036,0.3704,15470400,0.0,0.0
1999-02-02,0.3958,0.4062,0.3607,0.3724,0.3418,26409600,0.0,0.0
1999-02-03,0.3672,0.3854,0.3646,0.3802,0.3489,7512000,0.0,0.0
1999-02-04,0.3854,0.4115,0.3802,0.401,0.3681,18192000,0.0,0.0
1999-02-05,0.4076,0.4167,0.3971,0.4128,0.3788,13684800,0.0,0.0
1999-02-08,0.4154,0.4167,0.3984,0.3984,0.3657,15408000,0.0,0.0
1999-02-09,0.4062,0.4089,0.3776,0.3828,0.3513,8697600,0.0,0.0
1999-02-10,0.3828,0.3932,0.3724,0.3789,0.3477,14822400,0.0,0.0
1999-02-11,0.3802,0.4271,0.3802,0.4115,0.3776,13224000,0.0,0.0
1999-02-12,0.4167,0.4375,0.4167,0.4349,0.3991,10972800,0.0,0.0
1999-02-16,0.4427,0.4609,0.3932,0.4375,0.4015,21100800,0.0,0.0
1999-02-17,0.4271,0.4323,0.4062,0.4141,0.38,6772800,0.0,0.0
1999-02-18,0.4271,0.4323,0.4089,0.4206,0.386,7070400,0.0,0.0
1999-02-19,0.4167,0.4427,0.4115,0.4349,0.3991,7536000,0.0,0.0
1999-02-22,0.4427,0.4479,0.4141,0.4375,0.4015,20524800,0.0,0.0
1999-02-23,0.4479,0.4674,0.4219,0.4583,0.4206,13809600,0.0,0.0
1999-02-24,0.526,0.5469,0.4831,0.4948,0.4541,61276800,0.0,0.0
1999-02-25,0.5156,0.5312,0.4714,0.4792,0.4398,14913600,0.0,0.0
1999-02-26,0.4844,0.5,0.4531,0.457,0.4194,17260800,0.0,0.0
1999-03-01,0.4688,0.4792,0.4375,0.4596,0.4218,9216000,0.0,0.0
1999-03-02,0.4583,0.4609,0.4479,0.4557,0.4182,5524800,0.0,0.0
1999-03-03,0.4583,0.4583,0.4219,0.4245,0.3896,6139200,0.0,0.0
1999-03-04,0.4453,0.4479,0.4115,0.4154,0.3812,5736000,0.0,0.0
1999-03-05,0.4193,0.4401,0.4193,0.4388,0.4027,7876800,0.0,0.0
1999-03-08,0.4271,0.4583,0.4193,0.4453,0.4087,7588800,0.0,0.0
1999-03-09,0.444,0.4661,0.444,0.4596,0.4218,14318400,0.0,0.0
1999-03-10,0.4661,0.4661,0.4453,0.4518,0.4147,23534400,0.0,0.0
1999-03-11,0.444,0.4518,0.4323,0.4323,0.3967,5428800,0.0,0.0
1999-03-12,0.4349,0.4349,0.4167,0.4245,0.3896,9076800,0.0,0.0
1999-03-15,0.4349,0.4479,0.4323,0.4427,0.4063,10881600,0.0,0.0
1999-03-16,0.4453,0.4505,0.4245,0.4284,0.3932,7915200,0.0,0.0
1999-03-17,0.4323,0.4401,0.4206,0.431,0.3955,5136000,0.0,0.0
1999-03-18,0.4323,0.4427,0.4219,0.4362,0.4003,4632000,0.0,0.0
1999-03-19,0.4349,0.4505,0.4349,0.4375,0.4015,10531200,0.0,0.0
1999-03-22,0.4466,0.4479,0.4245,0.4245,0.3896,3667200,0.0,0.0
1999-03-23,0.4271,0.4271,0.3906,0.3984,0.3657,16396800,0.0,0.0
1999-03-24,0.3958,0.3984,0.3802,0.3958,0.3633,6086400,0.0,0.0
1999-03-25,0.3945,0.4167,0.3932,0.401,0.3681,4032000,0.0,0.0
1999-03-26,0.4062,0.4375,0.4062,0.4362,0.4003,8827200,0.0,0.0
1999-03-29,0.4492,0.4596,0.4414,0.4492,0.4123,6595200,0.0,0.0
1999-03-30,0.4505,0.4544,0.4089,0.4115,0.3776,6950400,0.0,0.0
1999-03-31,0.4245,0.4453,0.4049,0.4401,0.4039,15360000,0.0,0.0
1999-04-01,0.4401,0.4427,0.4193,0.4271,0.392,3043200,0.0,0.0
1999-04-05,0.4219,0.4323,0.4115,0.4141,0.38,9864000,0.0,0.0
1999-04-06,0.418,0.4193,0.3958,0.4036,0.3704,6969600,0.0,0.0
1999-04-07,0.4062,0.4401,0.4036,0.4375,0.4015,8928000,0.0,0.0
1999-04-08,0.4401,0.4583,0.4349,0.4453,0.4087,13012800,0.0,0.0
1999-04-09,0.4479,0.4479,0.4349,0.4375,0.4015,4862400,0.0,0.0
1999-04-12,0.4323,0.4323,0.4115,0.4193,0.3848,3331200,0.0,0.0
1999-04-13,0.4271,0.4271,0.3958,0.4023,0.3693,3614400,0.0,0.0
1999-04-14,0.401,0.4102,0.3906,0.3906,0.3585,4828800,0.0,0.0
1999-04-15,0.401,0.401,0.3906,0.401,0.3681,3585600,0.0,0.0
1999-04-16,0.3984,0.4206,0.3984,0.4141,0.38,3892800,0.0,0.0
1999-04-19,0.4193,0.4193,0.3906,0.3958,0.3633,3129600,0.0,0.0
1999-04-20,0.3958,0.4115,0.3841,0.388,0.3561,6768000,0.0,0.0
1999-04-21,0.388,0.3958,0.3854,0.3945,0.3621,3748800,0.0,0.0
1999-04-22,0.3958,0.3958,0.3737,0.3776,0.3465,22718400,0.0,0.0
1999-04-23,0.3763,0.3776,0.3568,0.3594,0.3298,12604800,0.0,0.0
1999-04-26,0.3594,0.3646,0.3333,0.3411,0.3131,12350400,0.0,0.0
1999-04-27,0.349,0.3802,0.3438,0.3776,0.3465,22694400,0.0,0.0
1999-04-28,0.3802,0.3802,0.3633,0.375,0.3442,12009600,0.0,0.0
1999-04-29,0.3763,0.3776,0.3672,0.375,0.3442,4814400,0.0,0.0
1999-04-30,0.3789,0.3958,0.3763,0.3802,0.3489,9931200,0.0,0.0
1999-05-03,0.3841,0.3841,0.3724,0.3828,0.3513,3384000,0.0,0.0
1999-05-04,0.3828,0.3828,0.3542,0.362,0.3322,9604800,0.0,0.0
1999-05-05,0.3646,0.3698,0.3438,0.3698,0.3394,14457600,0.0,0.0
1999-05-06,0.3672,0.375,0.3516,0.3626,0.3328,3561600,0.0,0.0
1999-05-07,0.3516,0.3672,0.3516,0.3646,0.3346,2500800,0.0,0.0
1999-05-10,0.362,0.3724,0.362,0.3646,0.3346,1968000,0.0,0.0
1999-05-11,0.3802,0.3958,0.3724,0.3841,0.3525,17174400,0.0,0.0
1999-05-12,0.388,0.3971,0.3828,0.3958,0.3633,16848000,0.0,0.0
1999-05-13,0.3958,0.4062,0.3945,0.3958,0.3633,6993600,0.0,0.0
1999-05-14,0.3958,0.3958,0.3698,0.375,0.3442,2846400,0.0,0.0
1999-05-17,0.3698,0.3932,0.3685,0.3932,0.3609,3576000,0.0,0.0
1999-05-18,0.3971,0.4167,0.3854,0.4115,0.3776,15153600,0.0,0.0
1999-05-19,0.4297,0.4453,0.3867,0.3932,0.3609,45172800,0.0,0.0
1999-05-20,0.3958,0.3958,0.3477,0.362,0.3322,17817600,0.0,0.0
1999-05-21,0.3568,0.3568,0.3438,0.3542,0.325,30350400,0.0,0.0
1999-05-24,0.3568,0.3646,0.3477,0.3529,0.3238,16262400,0.0,0.0
1999-05-25,0.3542,0.3594,0.3516,0.3555,0.3262,13008000,0.0,0.0
1999-05-26,0.3542,0.3724,0.3542,0.3542,0.325,10473600,0.0,0.0
1999-05-27,0.3568,0.3568,0.3516,0.3516,0.3226,8232000,0.0,0.0
1999-05-28,0.3568,0.3568,0.3516,0.3555,0.3262,8865600,0.0,0.0
1999-06-01,0.3542,0.3568,0.349,0.3568,0.3274,9854400,0.0,0.0
1999-06-02,0.3568,0.3568,0.3438,0.3438,0.3155,13012800,0.0,0.0
1999-06-03,0.3529,0.3555,0.349,0.3529,0.3238,4156800,0.0,0.0
1999-06-04,0.3555,0.3568,0.3529,0.3555,0.3262,7891200,0.0,0.0
1999-06-07,0.3574,0.3646,0.3568,0.3594,0.3298,12513600,0.0,0.0
1999-06-08,0.3607,0.375,0.3594,0.3685,0.3382,15331200,0.0,0.0
1999-06-09,0.3698,0.3828,0.3698,0.375,0.3442,9518400,0.0,0.0
1999-06-10,0.375,0.3776,0.3724,0.3763,0.3454,3609600,0.0,0.0
1999-06-11,0.3763,0.3776,0.3555,0.3685,0.3382,6100800,0.0,0.0
1999-06-14,0.3691,0.3698,0.3516,0.3542,0.325,5164800,0.0,0.0
1999-06-15,0.3542,0.3568,0.349,0.3542,0.325,4929600,0.0,0.0
1999-06-16,0.3594,0.375,0.3542,0.3646,0.3346,6441600,0.0,0.0
1999-06-17,0.362,0.3672,0.3542,0.3542,0.325,7492800,0.0,0.0
1999-06-18,0.3568,0.3568,0.3411,0.3411,0.3131,15873600,0.0,0.0
1999-06-21,0.3516,0.3594,0.3421,0.3594,0.3298,8347200,0.0,0.0
1999-06-22,0.3594,0.3594,0.3451,0.3529,0.3238,19305600,0.0,0.0
1999-06-23,0.349,0.3594,0.3451,0.3594,0.3298,21091200,0.0,0.0
1999-06-24,0.362,0.362,0.349,0.3516,0.3226,11520000,0.0,0.0
1999-06-25,0.349,0.3607,0.349,0.3568,0.3274,7353600,0.0,0.0
1999-06-28,0.3685,0.3685,0.3542,0.362,0.3322,10915200,0.0,0.0
1999-06-29,0.3672,0.3711,0.362,0.3659,0.3358,9268800,0.0,0.0
1999-06-30,0.3776,0.3984,0.3698,0.3984,0.3657,26923200,0.0,0.0
1999-07-01,0.3984,0.3984,0.3568,0.3776,0.3465,8899200,0.0,0.0
1999-07-02,0.3828,0.4049,0.375,0.4049,0.3716,22488000,0.0,0.0
1999-07-06,0.4089,0.4089,0.401,0.4062,0.3728,19809600,0.0,0.0
1999-07-07,0.4089,0.4089,0.3984,0.3984,0.3657,6312000,0.0,0.0
1999-07-08,0.401,0.4141,0.388,0.4076,0.374,18604800,0.0,0.0
1999-07-09,0.4062,0.4453,0.4062,0.4421,0.4057,21172800,0.0,0.0
1999-07-12,0.4688,0.4818,0.4505,0.4622,0.4242,40104000,0.0,0.0
1999-07-13,0.4674,0.4701,0.4427,0.4635,0.4254,13886400,0.0,0.0
1999-07-14,0.4635,0.474,0.4427,0.4453,0.4087,13795200,0.0,0.0
1999-07-15,0.4492,0.4635,0.4479,0.4479,0.4111,13704000,0.0,0.0
1999-07-16,0.4557,0.4609,0.4479,0.457,0.4194,10387200,0.0,0.0
1999-07-19,0.4583,0.4596,0.4427,0.4453,0.4087,4363200,0.0,0.0
1999-07-20,0.4453,0.4453,0.4219,0.4375,0.4015,17875200,0.0,0.0
1999-07-21,0.4323,0.4323,0.4115,0.4245,0.3896,11208000,0.0,0.0
1999-07-22,0.4219,0.4219,0.401,0.4049,0.3716,21326400,0.0,0.0
1999-07-23,0.4036,0.4167,0.4036,0.4049,0.3716,8025600,0.0,0.0
1999-07-26,0.4154,0.4154,0.4062,0.4062,0.3728,6052800,0.0,0.0
1999-07-27,0.4062,0.4089,0.401,0.4076,0.374,9859200,0.0,0.0
1999-07-28,0.4062,0.4193,0.4049,0.4141,0.38,24422400,0.0,0.0
1999-07-29,0.4062,0.4193,0.4036,0.418,0.3836,38880000,0.0,0.0
1999-07-30,0.418,0.4297,0.4167,0.4193,0.3848,45230400,0.0,0.0
1999-08-02,0.4193,0.4245,0.4167,0.4232,0.3884,31334400,0.0,0.0
1999-08-03,0.4232,0.4232,0.4089,0.4128,0.3788,25521600,0.0,0.0
1999-08-04,0.4154,0.4167,0.4115,0.4128,0.3788,8995200,0.0,0.0
1999-08-05,0.4128,0.4193,0.4062,0.4193,0.3848,24057600,0.0,0.0
