fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2022-12-31,USD,15433000000,624000000,None,-1586000000,1363000000,13035000000,24844000000,-5327000000,2436000000,8017000000,-10477000000,1361000000,3945000000,0,0,None,5997000000,5997000000,None,None,0,None,0,None,6317000000,None,8014000000,annual
2021-12-31,USD,29456000000,545000000,None,122000000,6471000000,11792000000,18733000000,2674000000,2339000000,19868000000,-24449000000,-6045000000,None,2415000000,2415000000,None,5644000000,5644000000,None,None,4974000000,None,-1395000000,None,-1038000000,None,19868000000,annual
2020-12-31,USD,35384000000,594000000,None,694000000,1561000000,12239000000,14259000000,-883000000,687000000,20899000000,-20796000000,-12917000000,None,14229000000,14229000000,None,5568000000,5568000000,None,None,10247000000,None,-13332000000,None,1671000000,None,20899000000,annual
2019-12-31,USD,33145000000,469000000,None,5000000,3308000000,10826000000,16213000000,935000000,1481000000,21048000000,-14405000000,-17565000000,None,13576000000,13576000000,None,5576000000,5576000000,None,None,3392000000,None,-12826000000,None,1175000000,None,21048000000,annual
2018-12-31,USD,29432000000,448000000,None,1318000000,1773000000,9085000000,15181000000,1714000000,214000000,21053000000,-11239000000,-18607000000,460000000,10730000000,10730000000,None,5541000000,5541000000,None,None,423000000,None,-10175000000,None,-414000000,None,21053000000,annual
2021-12-31,USD,5938000000,274000000,None,620000000,3641000000,3074000000,7154000000,1056000000,1127000000,4623000000,-5624000000,-3357000000,None,0,0,None,1413000000,1413000000,None,None,0,None,4000000,None,-3043000000,None,4623000000,quarterly
2021-09-30,USD,9904000000,-12000000,None,1484000000,2026000000,2959000000,4005000000,940000000,1086000000,6823000000,-10629000000,3849000000,None,0,0,None,1410000000,1410000000,None,None,4974000000,None,427000000,None,6823000000,None,6823000000,quarterly
2021-06-30,USD,8801000000,122000000,None,564000000,558000000,2857000000,3602000000,252000000,306000000,5061000000,-6913000000,-2334000000,None,114000000,114000000,None,1410000000,1410000000,None,None,0,None,-90000000,None,5061000000,None,5061000000,quarterly
2021-03-31,USD,5348000000,161000000,None,-2546000000,246000000,2902000000,3972000000,426000000,-180000000,3361000000,-2001000000,-4020000000,None,2301000000,2301000000,None,1411000000,1411000000,None,None,0,None,-1736000000,None,-673000000,None,3361000000,quarterly
2020-12-31,USD,9890000000,135000000,None,918000000,1516000000,3003000000,3867000000,-358000000,117000000,5857000000,-5684000000,-1697000000,None,2000000000,2000000000,None,1353000000,1353000000,None,None,0,None,-2000000000,None,2509000000,None,5857000000,quarterly
2020-09-30,USD,8179000000,207000000,None,648000000,-2000000,3123000000,3716000000,-301000000,299000000,4276000000,-766000000,-12793000000,0,8000000000,8000000000,None,1404000000,1404000000,None,None,0,None,-7615000000,None,4276000000,None,4276000000,quarterly
2020-06-30,USD,11157000000,185000000,None,598000000,-1297000000,3063000000,3408000000,-1020000000,-277000000,5105000000,-10610000000,-3191000000,0,0,0,None,1403000000,1403000000,None,None,0,None,9000000,None,5105000000,None,5105000000,quarterly
2020-03-31,USD,6158000000,67000000,None,-1470000000,1344000000,3050000000,3268000000,796000000,548000000,5661000000,-3736000000,4764000000,0,4229000000,4229000000,None,1408000000,1408000000,None,None,10247000000,None,-3726000000,None,7186000000,None,5661000000,quarterly
2019-12-31,USD,9888000000,157000000,None,316000000,1776000000,2968000000,4666000000,779000000,105000000,6905000000,-4485000000,-5144000000,None,3476000000,3476000000,None,1362000000,1362000000,None,None,2742000000,None,-3523000000,None,259000000,None,6905000000,quarterly
2019-09-30,USD,10711000000,69000000,None,714000000,579000000,2679000000,4672000000,646000000,-67000000,5990000000,-3910000000,-5733000000,-161000000,4521000000,4521000000,None,1386000000,1386000000,None,None,49000000,None,-4029000000,None,1068000000,None,5990000000,quarterly
2019-06-30,USD,7587000000,134000000,None,627000000,206000000,2554000000,3554000000,-725000000,931000000,4179000000,-3288000000,-4586000000,-686000000,3049000000,3049000000,None,1414000000,1414000000,None,None,466000000,None,-3034000000,None,-287000000,None,4179000000,quarterly
2019-03-31,USD,4959000000,109000000,None,-1652000000,747000000,2625000000,3321000000,235000000,512000000,3974000000,-2722000000,-2102000000,1682000000,2530000000,2530000000,None,1414000000,1414000000,None,None,135000000,None,-2240000000,None,135000000,None,3974000000,quarterly
2018-12-31,USD,6900000000,132000000,None,217000000,962000000,2493000000,3890000000,1265000000,-148000000,5195000000,-1820000000,-5468000000,-1247000000,2266000000,2266000000,None,1368000000,1368000000,None,None,0,None,-2256000000,None,-388000000,None,5195000000,quarterly
2018-09-30,USD,-4862000000,107000000,None,131000000,877000000,390000000,3851000000,818000000,59000000,6398000000,-3435000000,-4607000000,-284000000,2657000000,2657000000,None,1373000000,1373000000,None,None,423000000,None,-2432000000,None,793000000,None,6398000000,quarterly
2018-06-30,USD,5006000000,149000000,None,605000000,-60000000,392000000,4530000000,-267000000,207000000,5006000000,-1193000000,-7160000000,-151000000,3893000000,3893000000,None,1400000000,1400000000,None,None,0,None,-3862000000,None,-940000000,None,5006000000,quarterly
2018-03-31,USD,12568000000,60000000,None,365000000,-6000000,2196000000,2910000000,-102000000,96000000,4454000000,-4791000000,-1372000000,2142000000,1914000000,1914000000,None,1400000000,1400000000,None,None,0,None,-1625000000,None,121000000,None,4454000000,quarterly
2017-12-31,USD,-7628000000,238000000,None,498000000,-292000000,2140000000,4069000000,-347000000,55000000,-687000000,-5230000000,-7653000000,17000000,4000000,4000000,None,1278000000,1278000000,None,None,0,None,129000000,None,-5642000000,None,-687000000,quarterly
2017-09-30,USD,4516000000,106000000,None,297000000,995000000,365000000,2979000000,510000000,485000000,4516000000,-6316000000,-2560000000,7000000,1093000000,1093000000,None,1278000000,1278000000,None,None,638000000,None,-862000000,None,-2612000000,None,4516000000,quarterly
2017-06-30,USD,2808000000,183000000,None,412000000,1041000000,313000000,2778000000,513000000,528000000,2808000000,-1438000000,3484000000,-447000000,1276000000,1276000000,None,1287000000,1287000000,None,None,0,None,-1199000000,None,6753000000,None,2808000000,quarterly
2017-03-31,USD,7796000000,97000000,None,-1089000000,337000000,1946000000,1952000000,105000000,232000000,2964000000,-2778000000,-1746000000,435000000,1242000000,1242000000,None,1229000000,1229000000,None,None,None,None,-913000000,None,-626000000,None,2964000000,quarterly
