Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1984-06-01,0.0,1.425,1.4125,1.4125,1.3712,7340000,0.0,0.0
1984-06-04,0.0,1.425,1.4125,1.4125,1.3712,4067000,0.0,0.0
1984-06-05,0.0,1.4125,1.4,1.4,1.359,2089000,0.0,0.0
1984-06-06,0.0,1.5,1.475,1.475,1.4318,1894000,0.0,0.0
1984-06-07,0.0,1.65,1.6375,1.6375,1.5896,2078000,0.0,0.0
1984-06-08,0.0,1.7625,1.7375,1.7375,1.6867,2227000,0.0,0.0
1984-06-11,0.0,1.65,1.625,1.625,1.5775,1219000,0.0,0.0
1984-06-12,0.0,1.625,1.6125,1.6125,1.5653,670000,0.0,0.0
1984-06-13,0.0,1.7,1.6875,1.6875,1.6381,1339000,0.0,0.0
1984-06-14,0.0,1.6625,1.6375,1.6375,1.5896,680000,0.0,0.0
1984-06-15,0.0,1.7,1.6875,1.6875,1.6381,704000,0.0,0.0
1984-06-18,0.0,1.75,1.7375,1.7375,1.6867,480000,0.0,0.0
1984-06-19,0.0,1.875,1.8625,1.8625,1.808,1581000,0.0,0.0
1984-06-20,0.0,2.075,2.0625,2.0625,2.0022,2273000,0.0,0.0
1984-06-21,0.0,2.0625,2.0375,2.0375,1.9779,2039000,0.0,0.0
1984-06-22,0.0,2.275,2.2625,2.2625,2.1963,1199000,0.0,0.0
1984-06-25,0.0,2.25,2.2375,2.2375,2.172,1579000,0.0,0.0
1984-06-26,0.0,2.3125,2.3,2.3,2.2327,1040000,0.0,0.0
1984-06-27,0.0,2.25,2.2375,2.2375,2.172,1046000,0.0,0.0
1984-06-28,0.0,2.3625,2.35,2.35,2.2813,563000,0.0,0.0
1984-06-29,0.0,2.5625,2.5375,2.5375,2.4633,1019000,0.0,0.0
1984-07-02,0.0,2.5,2.475,2.475,2.4026,940000,0.0,0.0
1984-07-03,0.0,2.55,2.525,2.525,2.4511,339000,0.0,0.0
1984-07-05,0.0,2.6625,2.65,2.65,2.5725,1428000,0.0,0.0
1984-07-06,0.0,2.6375,2.625,2.625,2.5482,728000,0.0,0.0
1984-07-09,0.0,2.6,2.575,2.575,2.4997,963000,0.0,0.0
1984-07-10,0.0,2.525,2.5125,2.5125,2.439,1938000,0.0,0.0
1984-07-11,0.0,2.4125,2.4,2.4,2.3298,980000,0.0,0.0
1984-07-12,0.0,2.3375,2.3375,2.3375,2.2691,1021000,0.0,0.0
1984-07-13,0.0,2.375,2.3625,2.3625,2.2934,223000,0.0,0.0
1984-07-16,0.0,2.2875,2.2625,2.2625,2.1963,473000,0.0,0.0
1984-07-17,0.0,2.35,2.3375,2.3375,2.2691,350000,0.0,0.0
1984-07-18,0.0,2.35,2.325,2.325,2.257,150000,0.0,0.0
1984-07-19,0.0,2.1,2.0875,2.0875,2.0264,761000,0.0,0.0
1984-07-20,0.0,1.9375,1.9,1.9,1.8444,723000,0.0,0.0
1984-07-23,0.0,1.975,1.9625,1.9625,1.9051,580000,0.0,0.0
