Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1997-10-09,5.646,6.5627,5.646,6.3236,3.2891,10201979.0,0.0,0.0
1997-10-10,7.0144,7.0409,6.3634,6.6158,3.4411,10669148.0,0.0,0.0
1997-10-13,6.6291,6.6291,6.4431,6.4697,3.3651,3044363.0,0.0,0.0
1997-10-14,6.4166,6.4298,6.0313,6.204,3.2269,2549907.0,0.0,0.0
1997-10-15,5.8187,6.0446,5.8055,6.0313,3.1371,3167153.0,0.0,0.0
1997-10-16,6.0313,6.0313,5.8187,5.8453,3.0403,1770821.0,0.0,0.0
1997-10-17,5.5796,5.5929,5.3272,5.3405,2.7778,3287121.0,0.0,0.0
1997-10-20,4.4637,4.7825,4.4504,4.6762,2.4323,11499985.0,0.0,0.0
1997-10-21,4.8888,5.3405,4.8622,5.3405,2.7778,6924737.0,0.0,0.0
1997-10-22,4.9154,4.9287,4.7028,4.7161,2.453,4458573.0,0.0,0.0
1997-10-23,4.57,4.57,4.2511,4.4371,2.3079,12494072.0,0.0,0.0
1997-10-24,4.5434,4.57,4.0917,4.198,2.1835,9498638.0,0.0,0.0
1997-10-27,4.0917,4.0917,3.6267,3.64,1.8933,4905042.0,0.0,0.0
1997-10-28,3.3478,4.4637,3.3212,4.4637,2.3217,10417921.0,0.0,0.0
1997-10-29,4.0917,4.2113,4.0386,4.0519,2.1075,7548100.0,0.0,0.0
1997-10-30,3.826,3.9854,3.8127,3.9456,2.0522,2797370.0,0.0,0.0
1997-10-31,4.0917,4.291,4.0784,4.198,2.1835,3611270.0,0.0,0.0
1997-11-03,4.57,4.8888,4.57,4.8224,2.5083,6205871.0,0.0,0.0
1997-11-04,4.7825,4.8755,4.6895,4.8224,2.5083,3145042.0,0.0,0.0
1997-11-05,4.9154,5.2475,4.9154,5.2076,2.7087,3979642.0,0.0,0.0
1997-11-06,5.3936,5.4202,5.1279,5.1811,2.6948,3649848.0,0.0,0.0
1997-11-07,4.8091,5.0881,4.7825,5.0615,2.6326,4470805.0,0.0,0.0
1997-11-10,5.2608,5.2874,5.0748,5.0881,2.6465,2435114.0,0.0,0.0
1997-11-11,4.9951,5.0748,4.9685,4.9818,2.5912,2194707.0,0.0,0.0
1997-11-12,4.8224,4.8224,4.6895,4.7028,2.4461,3905309.0,0.0,0.0
1997-11-13,4.756,4.9287,4.5965,4.663,2.4254,2482160.0,0.0,0.0
1997-11-14,4.756,4.8224,4.5965,4.663,2.4254,2205999.0,0.0,0.0
1997-11-17,4.9818,4.9951,4.8888,4.9951,2.5981,3290415.0,0.0,0.0
1997-11-18,4.8357,4.8357,4.6497,4.6762,2.4323,2240813.0,0.0,0.0
1997-11-19,4.6231,4.6231,4.4903,4.5434,2.3632,1442908.0,0.0,0.0
1997-11-20,4.4504,4.5168,4.4238,4.4371,2.3079,2578134.0,0.0,0.0
1997-11-21,4.4637,4.663,4.4637,4.663,2.4254,4223342.0,0.0,0.0
1997-11-24,4.4371,4.57,4.4371,4.5567,2.3701,2254927.0,0.0,0.0
1997-11-25,4.5833,4.7427,4.5833,4.6762,2.4323,1083946.0,0.0,0.0
1997-11-26,4.6231,4.6364,4.5434,4.5965,2.3908,1136637.0,0.0,0.0
1997-11-28,4.6762,4.6762,4.663,4.6762,2.4323,1083475.0,0.0,0.0
1997-12-01,4.4637,4.4637,4.3973,4.4637,2.3217,2365485.0,0.0,0.0
1997-12-02,4.5035,4.5434,4.4504,4.4637,2.3217,2203176.0,0.0,0.0
1997-12-03,4.5434,4.5434,4.4238,4.4903,2.3355,2783727.0,0.0,0.0
1997-12-04,4.7028,4.7427,4.6762,4.6762,2.4323,2721625.0,0.0,0.0
1997-12-05,4.6762,4.7294,4.6497,4.6895,2.4392,1796226.0,0.0,0.0
1997-12-08,4.8622,4.9951,4.8622,4.8888,2.5428,2020166.0,0.0,0.0
1997-12-09,4.7825,4.7825,4.6762,4.6762,2.4323,1487132.0,0.0,0.0
1997-12-10,4.7427,4.7427,4.4637,4.477,2.3286,1393980.0,0.0,0.0
1997-12-11,4.2777,4.291,4.2113,4.2777,2.225,3128576.0,0.0,0.0
1997-12-12,4.2644,4.3308,4.2379,4.2379,2.2042,2271863.0,0.0,0.0
1997-12-15,4.2113,4.2113,3.8792,3.8792,2.0177,5162855.0,0.0,0.0
1997-12-16,3.8792,4.0651,3.8526,3.9987,2.0799,3736884.0,0.0,0.0
1997-12-17,4.012,4.0519,3.8526,3.8659,2.0108,3310174.0,0.0,0.0
1997-12-18,3.8393,3.8393,3.7197,3.7197,1.9348,1023256.0,0.0,0.0
1997-12-19,3.6932,3.9987,3.6666,3.9456,2.0522,3056124.0,0.0,0.0
1997-12-22,3.919,3.9854,3.8659,3.9057,2.0315,1266485.0,0.0,0.0
1997-12-23,3.8393,3.8393,3.7729,3.7862,1.9693,813430.0,0.0,0.0
1997-12-24,3.7862,3.8393,3.7596,3.7729,1.9624,742860.0,0.0,0.0
1997-12-26,3.7729,3.8393,3.7729,3.826,1.99,292628.0,0.0,0.0
1997-12-29,3.8792,3.9057,3.8393,3.8526,2.0039,951275.0,0.0,0.0
1997-12-30,3.8792,3.9854,3.8792,3.9854,2.0729,1465491.0,0.0,0.0
1997-12-31,3.9854,3.9854,3.826,3.8659,2.0108,917402.0,0.0,0.0
1998-01-02,3.8526,3.919,3.8393,3.919,2.0384,568789.0,0.0,0.0
1998-01-05,3.919,3.9456,3.8393,3.9057,2.0315,1749650.0,0.0,0.0
1998-01-06,3.8659,3.8659,3.8127,3.826,1.99,1504069.0,0.0,0.0
1998-01-07,3.7463,3.7463,3.454,3.454,1.7966,1337054.0,0.0,0.0
1998-01-08,3.4009,3.4142,3.2946,3.2946,1.7136,4584186.0,0.0,0.0
1998-01-09,3.2946,3.3079,3.0821,3.0954,1.61,5332692.0,0.0,0.0
1998-01-12,3.0289,3.2415,2.8429,3.2016,1.6653,3469190.0,0.0,0.0
1998-01-13,3.3345,3.6002,3.3212,3.5736,1.8587,2123668.0,0.0,0.0
1998-01-14,3.7862,3.7862,3.547,3.64,1.8933,2803486.0,0.0,0.0
1998-01-15,3.6135,3.64,3.5338,3.5869,1.8657,1833863.0,0.0,0.0
1998-01-16,3.733,3.733,3.6932,3.7065,1.9278,2319380.0,0.0,0.0
1998-01-20,3.7995,3.9722,3.7995,3.919,2.0384,3270655.0,0.0,0.0
1998-01-21,3.9057,4.012,3.8924,3.9987,2.0799,2871233.0,0.0,0.0
1998-01-22,3.9987,4.1183,3.9323,4.105,2.1351,1798578.0,0.0,0.0
1998-01-23,4.2113,4.2246,4.1183,4.198,2.1835,1195445.0,0.0,0.0
1998-01-26,4.4903,4.5168,4.3973,4.5168,2.3493,3288062.0,0.0,0.0
1998-01-27,4.5434,4.6762,4.5301,4.6497,2.4184,2171655.0,0.0,0.0
1998-01-28,4.6762,4.8888,4.6762,4.8888,2.5428,3175151.0,0.0,0.0
1998-01-29,4.8888,4.8888,4.6762,4.6762,2.4323,3233489.0,0.0,0.0
1998-01-30,4.7294,5.0748,4.7161,5.0482,2.6257,4949265.0,0.0,0.0
1998-02-02,5.1279,5.2608,5.1146,5.2076,2.7087,2354194.0,0.0,0.0
1998-02-03,5.4202,5.5663,5.3538,5.553,2.8883,5174617.0,0.0,0.0
1998-02-04,5.4733,5.4733,5.1811,5.2475,2.7294,2420059.0,0.0,0.0
1998-02-05,5.4733,5.5265,5.2741,5.2874,2.7501,1634387.0,0.0,0.0
