Date,Status,Outer,Previous_ratting,Current_ratting,Previous_price,Current_price
2023-01-18,Initiated,DA Davidson,Neutral,Neutral,350,350
2023-01-17,Initiated,William Blair,Outperform,Outperform,,
2022-09-22,Initiated,MoffettNathanson,Hold,Hold,354,354
2022-09-19,Downgrade,Wells Fargo,Overweight,Equal Weight,425,310
2022-09-19,Downgrade,Edward Jones,Buy,Hold,,
2022-09-16,Downgrade,Robert W. Baird,Outperform,Neutral,450,355
2022-09-16,Downgrade,BofA Securities,Buy,Neutral,450,350
2022-09-16,Downgrade,Barclays,Overweight,Equal Weight,440,340
2022-09-15,Downgrade,Oppenheimer,Outperform,Perform,,
2022-09-13,Downgrade,BMO Capital Markets,Outperform,Market Perform,420,435
2022-09-12,Downgrade,Mizuho,Buy,Neutral,480,440
2022-06-21,Downgrade,Morgan Stanley,Overweight,Equal-Weight,591,362
2022-06-14,Reiterated,RBC Capital Mkts,Outperform,Outperform,600,500
2022-03-29,Initiated,Exane BNP Paribas,Outperform,Outperform,570,570
2022-01-05,Downgrade,UBS,Buy,Neutral,635,575
2021-12-17,Reiterated,UBS,Buy,Buy,690,635
2021-12-17,Reiterated,Piper Sandler,Overweight,Overweight,670,630
2021-12-17,Reiterated,Mizuho,Buy,Buy,695,685
2021-12-17,Reiterated,JP Morgan,Neutral,Neutral,680,645
2021-12-17,Reiterated,Jefferies,Buy,Buy,760,680
