Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2004-08-19,2.4907,2.5918,2.39,2.4991,2.4991,897427216,0.0,0.0
2004-08-20,2.5158,2.7168,2.5031,2.6976,2.6976,458857488,0.0,0.0
2004-08-23,2.7584,2.8264,2.7161,2.7248,2.7248,366857939,0.0,0.0
2004-08-24,2.7706,2.7796,2.5796,2.612,2.612,306396159,0.0,0.0
2004-08-25,2.6142,2.6899,2.5873,2.6401,2.6401,184645512,0.0,0.0
2004-08-26,2.614,2.6887,2.6067,2.6877,2.6877,142572401,0.0,0.0
2004-08-27,2.6924,2.7054,2.6324,2.6438,2.6438,124826132,0.0,0.0
2004-08-30,2.6222,2.6274,2.5407,2.5407,2.5407,104429967,0.0,0.0
2004-08-31,2.548,2.5831,2.5445,2.5497,2.5497,98825037,0.0,0.0
2004-09-01,2.5579,2.5646,2.4824,2.4969,2.4969,183633734,0.0,0.0
2004-09-02,2.4705,2.5497,2.4643,2.5283,2.5283,303810504,0.0,0.0
2004-09-03,2.5143,2.534,2.4737,2.4909,2.4909,103538639,0.0,0.0
2004-09-07,2.5158,2.5405,2.481,2.53,2.53,117506800,0.0,0.0
2004-09-08,2.5091,2.5661,2.5031,2.548,2.548,100186120,0.0,0.0
2004-09-09,2.5537,2.5582,2.5156,2.5482,2.5482,81620792,0.0,0.0
2004-09-10,2.5305,2.6541,2.523,2.6234,2.6234,174804764,0.0,0.0
2004-09-13,2.6558,2.7001,2.6516,2.6775,2.6775,157628624,0.0,0.0
2004-09-14,2.6762,2.7895,2.6598,2.7768,2.7768,217608605,0.0,0.0
2004-09-15,2.7537,2.8451,2.7447,2.7895,2.7895,215279909,0.0,0.0
2004-09-16,2.798,2.8842,2.7808,2.8386,2.8386,186207345,0.0,0.0
2004-09-17,2.8498,2.9263,2.8281,2.9263,2.9263,190350817,0.0,0.0
2004-09-20,2.9128,3.0286,2.9083,2.9729,2.9729,213585582,0.0,0.0
2004-09-21,2.9841,2.9993,2.9268,2.935,2.935,145262446,0.0,0.0
2004-09-22,2.924,2.9806,2.9093,2.9484,2.9484,152344894,0.0,0.0
2004-09-23,2.9599,3.0543,2.9146,3.0092,3.0092,171524515,0.0,0.0
2004-09-24,3.0122,3.0909,2.9828,2.9846,2.9846,183336625,0.0,0.0
2004-09-27,2.9778,3.0107,2.934,2.9455,2.9455,141994242,0.0,0.0
2004-09-28,3.0212,3.1731,2.994,3.1597,3.1597,340190355,0.0,0.0
2004-09-29,3.1557,3.3629,3.144,3.2648,3.2648,613229953,0.0,0.0
2004-09-30,3.2354,3.2951,3.213,3.2279,3.2279,276468402,0.0,0.0
2004-10-01,3.2578,3.3435,3.2105,3.3021,3.3021,303934969,0.0,0.0
2004-10-04,3.3686,3.409,3.3382,3.3639,3.3639,261693228,0.0,0.0
2004-10-05,3.3539,3.4503,3.2937,3.4463,3.4463,300887589,0.0,0.0
2004-10-06,3.4259,3.4483,3.3873,3.4142,3.4142,268900140,0.0,0.0
2004-10-07,3.4102,3.4839,3.401,3.4583,3.4583,283643194,0.0,0.0
2004-10-08,3.455,3.479,3.4127,3.4304,3.4304,222442656,0.0,0.0
2004-10-11,3.4122,3.4585,3.3338,3.3689,3.3689,210437827,0.0,0.0
2004-10-12,3.3484,3.4274,3.3225,3.4222,3.4222,234419380,0.0,0.0
2004-10-13,3.5696,3.5753,3.4889,3.5093,3.5093,397203256,0.0,0.0
2004-10-14,3.5121,3.5462,3.4511,3.5367,3.5367,209835578,0.0,0.0
2004-10-15,3.6097,3.6239,3.5355,3.5893,3.5893,265150137,0.0,0.0
2004-10-18,3.5666,3.7161,3.5171,3.7151,3.7151,282061287,0.0,0.0
2004-10-19,3.7485,3.7958,3.67,3.6847,3.6847,363918964,0.0,0.0
2004-10-20,3.6869,3.7108,3.477,3.4991,3.4991,456613107,0.0,0.0
2004-10-21,3.5965,3.7392,3.5273,3.7206,3.7206,585767401,0.0,0.0
2004-10-22,4.2476,4.4874,4.0867,4.2947,4.2947,1481207196,0.0,0.0
2004-10-25,4.3935,4.8426,4.2976,4.6675,4.6675,1315480331,0.0,0.0
2004-10-26,4.6411,4.798,4.4832,4.528,4.528,895628499,0.0,0.0
2004-10-27,4.5509,4.7203,4.5273,4.6319,4.6319,536262538,0.0,0.0
2004-10-28,4.6496,4.8416,4.6227,4.8145,4.8145,596097978,0.0,0.0
2004-10-29,4.9537,4.9801,4.7472,4.7482,4.7482,849672890,0.0,0.0
2004-11-01,4.8207,4.9233,4.7639,4.8824,4.8824,490828877,0.0,0.0
2004-11-02,4.9509,4.9626,4.8155,4.8536,4.8536,455553149,0.0,0.0
2004-11-03,4.936,5.0212,4.7509,4.7739,4.7739,557630330,0.0,0.0
2004-11-04,4.6934,4.7422,4.5666,4.6003,4.6003,578544429,0.0,0.0
2004-11-05,4.5325,4.5405,4.198,4.2179,4.2179,796297573,0.0,0.0
2004-11-08,4.2573,4.3696,4.2192,4.2976,4.2976,449349985,0.0,0.0
2004-11-09,4.3362,4.3636,4.1163,4.2018,4.2018,444226854,0.0,0.0
2004-11-10,4.2508,4.2969,4.1427,4.1808,4.1808,427355853,0.0,0.0
2004-11-11,4.2125,4.5766,4.1736,4.5584,4.5584,601666773,0.0,0.0
