rating_date,rating_status,rating_agency,current_rating,previous_rating,current_price,previous_price,ticker
2023-01-23,Resumed,Citigroup,Buy,Buy,12.0,12.0,LCID
2022-12-15,Resumed,BofA Securities,Buy,Buy,21.0,21.0,LCID
2022-11-30,Initiated,Evercore ISI,In-line,In-line,12.0,12.0,LCID
2022-09-27,Initiated,Cantor Fitzgerald,Overweight,Overweight,23.0,23.0,LCID
2022-09-15,Resumed,Citigroup,Buy,Buy,28.0,28.0,LCID
2022-09-15,Initiated,Needham,Underperform,Underperform,,,LCID
2022-09-12,Initiated,R. F. Lafferty,Buy,Buy,19.0,19.0,LCID
2022-04-11,Initiated,Exane BNP Paribas,Outperform,Outperform,45.0,45.0,LCID
2022-01-11,Initiated,Redburn,Neutral,Neutral,,,LCID
2021-12-30,Resumed,Citigroup,Buy,Buy,57.0,57.0,LCID
2021-12-20,Initiated,Guggenheim,Neutral,Neutral,38.0,38.0,LCID
2021-11-08,Initiated,BTIG Research,Buy,Buy,14.0,14.0,LCID
2021-09-15,Initiated,BofA Securities,Buy,Buy,30.0,30.0,LCID
2021-09-14,Initiated,Morgan Stanley,Underweight,Underweight,12.0,12.0,LCID
2021-09-09,Initiated,Citigroup,Buy,Buy,28.0,28.0,LCID
2023-02-15,Initiated,Barclays,Overweight,Overweight,275.0,275.0,TSLA
2023-01-30,Upgrade,Berenberg,Buy,Hold,200.0,255.0,TSLA
2023-01-27,Reiterated,Argus,Buy,Buy,257.0,374.0,TSLA
2023-01-23,Reiterated,Truist,Buy,Buy,245.0,299.0,TSLA
2023-01-13,Downgrade,Guggenheim,Sell,Neutral,,,TSLA
2023-01-09,Reiterated,BofA Securities,Neutral,Neutral,135.0,275.0,TSLA
2023-01-05,Upgrade,Edward Jones,Buy,Hold,,,TSLA
2023-01-03,Reiterated,Truist,Buy,Buy,299.0,348.0,TSLA
2023-01-03,Reiterated,JP Morgan,Underweight,Underweight,125.0,150.0,TSLA
2023-01-03,Reiterated,Goldman,Buy,Buy,205.0,235.0,TSLA
2022-12-29,Reiterated,Morgan Stanley,Overweight,Overweight,250.0,330.0,TSLA
2022-12-28,Reiterated,Robert W. Baird,Outperform,Outperform,252.0,316.0,TSLA
2022-12-23,Reiterated,Wedbush,Outperform,Outperform,175.0,250.0,TSLA
2022-12-22,Reiterated,Canaccord Genuity,Buy,Buy,275.0,304.0,TSLA
2022-12-19,Downgrade,Oppenheimer,Perform,Outperform,,,TSLA
2022-11-23,Upgrade,Citigroup,Neutral,Sell,176.0,141.33,TSLA
2022-10-20,Reiterated,Wolfe Research,Outperform,Outperform,288.0,360.0,TSLA
2022-10-20,Reiterated,Wedbush,Outperform,Outperform,300.0,360.0,TSLA
2022-10-20,Reiterated,ROTH Capital,Neutral,Neutral,85.0,83.33,TSLA
2022-10-20,Reiterated,RBC Capital Mkts,Outperform,Outperform,325.0,340.0,TSLA
2022-10-20,Reiterated,Mizuho,Buy,Buy,330.0,370.0,TSLA
2023-02-15,Initiated,Barclays,Equal Weight,Equal Weight,46.0,46.0,GM
2023-01-30,Downgrade,Berenberg,Hold,Buy,41.0,45.0,GM
2022-11-10,Downgrade,Wolfe Research,Peer Perform,Outperform,,,GM
2022-10-10,Downgrade,UBS,Neutral,Buy,38.0,56.0,GM
2022-07-18,Downgrade,Deutsche Bank,Hold,Buy,,,GM
2022-05-12,Downgrade,Wells Fargo,Underweight,Overweight,33.0,74.0,GM
2022-05-10,Initiated,Berenberg,Buy,Buy,55.0,55.0,GM
2022-04-11,Initiated,Exane BNP Paribas,Outperform,Outperform,,,GM
2022-02-09,Downgrade,Nomura,Neutral,Buy,56.0,66.0,GM
2022-02-08,Downgrade,Morgan Stanley,Equal-Weight,Overweight,55.0,75.0,GM
2022-02-02,Reiterated,Wells Fargo,Overweight,Overweight,83.0,75.0,GM
2022-02-02,Reiterated,RBC Capital Mkts,Outperform,Outperform,85.0,74.0,GM
2022-02-02,Reiterated,Credit Suisse,Outperform,Outperform,75.0,78.0,GM
2022-02-02,Reiterated,Citigroup,Buy,Buy,100.0,96.0,GM
2021-12-30,Reiterated,Citigroup,Buy,Buy,95.0,90.0,GM
2021-12-16,Reiterated,Wells Fargo,Overweight,Overweight,74.0,67.0,GM
2021-12-14,Downgrade,Daiwa Securities,Neutral,Outperform,65.0,65.0,GM
2021-07-09,Initiated,Wedbush,Outperform,Outperform,85.0,85.0,GM
2021-06-22,Reiterated,Barclays,Overweight,Overweight,74.0,70.0,GM
2021-05-19,Initiated,Tudor Pickering,Buy,Buy,76.0,76.0,GM
2021-04-05,Initiated,Wells Fargo,Overweight,Overweight,67.0,67.0,GM
2023-02-15,Initiated,Barclays,Overweight,Overweight,28.0,28.0,RIVN
2023-01-04,Reiterated,Truist,Buy,Buy,50.0,65.0,RIVN
2022-12-20,Initiated,Cantor Fitzgerald,Overweight,Overweight,22.0,22.0,RIVN
2022-11-30,Initiated,Evercore ISI,In-line,In-line,35.0,35.0,RIVN
2022-09-29,Initiated,Truist,Buy,Buy,65.0,65.0,RIVN
2022-09-28,Reiterated,RBC Capital Mkts,Outperform,Outperform,62.0,75.0,RIVN
2022-09-15,Initiated,Needham,Hold,Hold,,,RIVN
2022-07-13,Initiated,Canaccord Genuity,Buy,Buy,61.0,61.0,RIVN
2022-06-02,Initiated,DA Davidson,Underperform,Underperform,24.0,24.0,RIVN
2022-05-12,Upgrade,Exane BNP Paribas,Neutral,Underperform,26.0,26.0,RIVN
2022-04-11,Initiated,Exane BNP Paribas,Underperform,Underperform,35.0,35.0,RIVN
2022-03-04,Reiterated,Robert W. Baird,Outperform,Outperform,100.0,150.0,RIVN
2022-03-02,Reiterated,RBC Capital Mkts,Outperform,Outperform,116.0,165.0,RIVN
2022-01-11,Initiated,Redburn,Buy,Buy,,,RIVN
2021-12-10,Initiated,Tigress Financial,Buy,Buy,147.0,147.0,RIVN
2021-12-06,Initiated,Wolfe Research,Outperform,Outperform,130.0,130.0,RIVN
2021-12-06,Initiated,Wells Fargo,Equal Weight,Equal Weight,110.0,110.0,RIVN
2021-12-06,Initiated,Wedbush,Outperform,Outperform,130.0,130.0,RIVN
2021-12-06,Initiated,Robert W. Baird,Outperform,Outperform,150.0,150.0,RIVN
2021-12-06,Initiated,RBC Capital Mkts,Outperform,Outperform,165.0,165.0,RIVN
2021-12-06,Initiated,Piper Sandler,Overweight,Overweight,148.0,148.0,RIVN
2023-02-15,Initiated,Barclays,Equal Weight,Equal Weight,13.0,13.0,F
2023-02-15,Downgrade,"Tudor, Pickering, Holt & Co.",Hold,Buy,,,F
2023-02-03,Downgrade,Deutsche Bank,Sell,Hold,11.0,13.0,F
2022-10-10,Downgrade,UBS,Sell,Neutral,10.0,13.0,F
2022-10-05,Upgrade,Morgan Stanley,Overweight,Equal-Weight,,,F
2022-08-02,Reiterated,Citigroup,Neutral,Neutral,15.0,16.0,F
2022-07-21,Upgrade,Nomura,Neutral,Reduce,12.4,12.4,F
2022-05-13,Upgrade,Morgan Stanley,Equal-Weight,Underweight,13.0,13.0,F
2022-05-12,Downgrade,Wells Fargo,Underweight,Overweight,12.0,24.0,F
2022-05-10,Initiated,Berenberg,Hold,Hold,17.0,17.0,F
2022-04-11,Initiated,Exane BNP Paribas,Outperform,Outperform,,,F
2022-04-07,Downgrade,Barclays,Equal Weight,Overweight,17.0,23.0,F
2022-01-20,Downgrade,Jefferies,Hold,Buy,25.0,20.0,F
2022-01-14,Downgrade,RBC Capital Mkts,Sector Perform,Outperform,26.0,21.0,F
2021-12-30,Reiterated,Citigroup,Neutral,Neutral,23.0,20.0,F
2021-12-16,Reiterated,Wells Fargo,Overweight,Overweight,25.0,19.0,F
2021-12-14,Downgrade,Daiwa Securities,Underperform,Neutral,19.0,16.0,F
2021-12-02,Downgrade,Wolfe Research,Peer Perform,Outperform,22.0,17.0,F
2021-11-02,Reiterated,Jefferies,Buy,Buy,20.0,17.0,F
2021-11-02,Downgrade,Nomura,Reduce,Neutral,,,F
2021-10-20,Upgrade,Credit Suisse,Outperform,Neutral,20.0,15.0,F
2021-06-22,Reiterated,Barclays,Overweight,Overweight,17.0,15.0,F
2023-01-31,Reiterated,BofA Securities,Buy,Buy,119.0,116.0,GOOG
2022-10-11,Reiterated,Credit Suisse,Outperform,Outperform,134.0,140.0,GOOG
2022-07-18,Reiterated,MKM Partners,Buy,Buy,140.0,165.0,GOOG
2022-07-13,Reiterated,Cowen,Outperform,Outperform,3000.0,3200.0,GOOG
2022-03-11,Initiated,Deutsche Bank,Buy,Buy,3150.0,3150.0,GOOG
2022-02-02,Reiterated,Monness Crespi & Hardt,Buy,Buy,3850.0,3660.0,GOOG
2022-02-02,Reiterated,Cowen,Outperform,Outperform,3600.0,3500.0,GOOG
2022-02-02,Reiterated,Canaccord Genuity,Buy,Buy,3500.0,3350.0,GOOG
2021-10-01,Initiated,RBC Capital Mkts,Outperform,Outperform,3400.0,3400.0,GOOG
